id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
783,Xavier College,1170- 1172 Ninth Avenue,Llandilo,2747,Catholic,Secondary,-33.715072,150.728704,NSW
784,Liberty College,582 Goonoo Goonoo Road,Tamworth,2340,Independent,Primary,-31.140827,150.924326,NSW
785,Muswellbrook Christian School,30 Sowerby Street,Muswellbrook,2333,Independent,Primary,-32.254363,150.893052,NSW
786,Australian Christian College: Marsden Park,69 Farm Road,Riverstone,2765,Independent,Combined,-33.678559,150.841762,NSW
787,Hunter Christian School,Cnr Bull & Kerr Streets,Mayfield,2304,Independent,Combined,-32.889971,151.738795,NSW
788,Medowie Christian School,6A and 6B Waropara Road,Medowie,2318,Independent,Combined,-32.733917,151.853679,NSW
789,Key College,122 Little Eveleigh Street,Redfern,2016,Independent,Combined,-33.891796,151.197932,NSW
790,Montgrove College,140 Bringelly Road,Orchard Hills,2748,Independent,Combined,-33.774826,150.714226,NSW
791,Bishop Tyrrell Anglican College,256 Minmi Road,Fletcher,2287,Independent,Combined,-32.873346,151.646812,NSW
792,The Riverina Anglican College,Farrer Road,Wagga Wagga,2650,Independent,Secondary,-35.068765,147.374657,NSW
793,St Mary and St Mina's Coptic Orthodox College,339-377 Forest Road,Bexley,2207,Independent,Combined,-33.946126,151.127346,NSW
794,Calrossy Anglican College - William Cowper Campus,242 Moore Creek Road,Tamworth,2340,Independent,Combined,-31.061006,150.913352,NSW
795,"Dunlea Centre, Australia's Original Boys' Town",35A Waratah Road,Engadine,2233,Independent,Secondary,-34.065036,151.008629,NSW
796,The Coast Christian School,37 - 39 Bundaleer Cres,Bensville,2251,Independent,Primary,-33.493631,151.390101,NSW
797,Holy Saviour School,80 Waterloo Road,Greenacre,2190,Independent,Primary,-33.911785,151.056407,NSW
798,Red Bend Catholic College,College Road,Forbes,2871,Independent,Secondary,-33.418419,148.02163,NSW
799,Kildare Catholic College,Coleman Street,Wagga Wagga,2650,Catholic,Secondary,-35.122634,147.363584,NSW
800,Arndell College,118 Wolseley Road,Oakville,2765,Independent,Combined,-33.620111,150.8504,NSW
801,Richard Johnson Anglican School,93 Hyatts Road,Oakhurst,2761,Independent,Combined,-33.743287,150.835651,NSW
802,Penrith Anglican College,338-356 Wentworth Road,Orchard Hills,2748,Independent,Combined,-33.783377,150.720781,NSW
803,Nowra Anglican College,Cnr Princes Highway and West Bunderra Street,Bomaderry,2541,Independent,Combined,-34.857265,150.599905,NSW
804,Thomas Hassall Anglican College,Cnr Second and Sixteenth Avenues,West Hoxton,2171,Independent,Combined,-33.918729,150.839747,NSW
805,St Peter's Catholic College,84 Gavenlock Road,Tuggerah,2259,Catholic,Secondary,-33.301912,151.413793,NSW
806,St Nicholas' Primary School,143-149 Carthage Street,Tamworth,2340,Catholic,Primary,-31.094048,150.937951,NSW
807,McCarthy Catholic College,Tribe Street,Tamworth,2340,Catholic,Secondary,-31.074671,150.919618,NSW
808,Trinity Catholic College,Clinton Street,Goulburn,2580,Catholic,Secondary,-34.753082,149.705539,NSW
809,Kindlehill School,8-12 Lake Street,Wentworth Falls,2782,Independent,Combined,-33.704508,150.374908,NSW
810,Rouse Hill Anglican College,Corner Rouse Road and Worcester Road,Rouse Hill,2155,Independent,Combined,-33.684396,150.910679,NSW
811,Mater Dei Catholic College,Plunkett Drive  off Gregadoo Road,Wagga Wagga,2650,Catholic,Secondary,-35.106664,147.360594,NSW
812,St John's College,Woodlawn Road,Lismore,2480,Catholic,Secondary,-28.784184,153.300445,NSW
813,St Angela's Primary School,40 Harrington Avenue,Castle Hill,2154,Catholic,Primary,-33.717526,150.971927,NSW
814,Lumen Christi Catholic College,388 Pambula Beach Road,Pambula Beach,2549,Catholic,Combined,-36.939092,149.899521,NSW
