id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
5417,St Jakobi Lutheran School OSHC/Vac,208 Lyndoch Valley Road,Lyndoch,5351,Non-Government,Out of School Hours Care,-34.619974,138.892634,SA
5418,Cedar College OSHC/Vac,215-233 Fosters Road,Northgate,5085,Non-Government,Out of School Hours Care,-34.854743,138.634123,SA
5419,Stepping Stone Para HIlls CC & EDC,510-516 Bridge Road,Para Hills West,5096,Non-Government,Private CCCs,-34.79887,138.6556221,SA
5421,Parafield Gardens Chn's Ctr Occ Care,9 Casuarina Drive,Parafield Gardens,5107,Government,Occasional Care in Preschools,-34.785192,138.616383,SA
5422,Port Augusta Children's Ctr,Rupert Street,Port Augusta,5700,Government,Children's Centres,-32.491974,137.767809,SA
5423,Kirton Point Children's Ctr Occ Care,63 Stevenson Street,Port Lincoln,5606,Government,Occasional Care in Preschools,-34.731447,135.867515,SA
5424,Trinity Gardens Chn Ctr Occ Care,160 Portrush Road,Trinity Gardens,5068,Government,Occasional Care in Preschools,-34.907992,138.641783,SA
5425,Tanunda Lutheran OSHC,16 Maria Street,Tanunda,5352,Non-Government,Out of School Hours Care,-34.52619444,138.9540778,SA
5429,Forbes Children's Centre Child Care,80 Thomas Street,South Plympton,5038,Government,Children's Centres,-34.978139,138.557598,SA
5431,Sunrise Christn S Morphett Vale OSHC,70-74 Pimpala Road,Morphett Vale,5162,Non-Government,Out of School Hours Care,-35.105926,138.537076,SA
5432,St Peter's College Camp Aust OSHC,57 Hackney Road,St Peters,5069,Non-Government,Out of School Hours Care,-34.913432,138.617231,SA
5433,St Mary's College OSHC,253 Franklin Street,Adelaide,5000,Non-Government,Out of School Hours Care,-34.92812778,138.5890833,SA
5434,Precious Cargo - Westbourne Park,183 Cross Road,Westbourne Park,5041,Non-Government,Private CCCs,-34.96677,138.5919102,SA
5435,Tanunda Lutheran Early Learning Ctr,16 Maria Street,Tanunda,5352,Non-Government,Other Grant Funded Preschools,-34.525595,138.951757,SA
5436,Morphett Vale PS - Occasional Care,Lawrence Street,Morphett Vale,5162,Government,Occasional Care in Preschools,-35.111314,138.515364,SA
5437,John Hartley Sch Child Cent Occ Care,199 Peachey Road,Smithfield Plains,5114,Government,Occasional Care in Preschools,-34.679553,138.672641,SA
5438,Memorial Oval PS OSHC/VAC,Bradford Street,Whyalla,5600,Government,Out of School Hours Care,-33.033445,137.568711,SA
5439,Tyndale CC ELC - Strathalbyn,2 Chapel Street,Strathalbyn,5255,Non-Government,Other Grant Funded Preschools,-35.25559653,138.8963147,SA
5440,Tyndale CC - Murray Bridge,136 Adelaide Road,Murray Bridge,5253,Non-Government,Other Grant Funded Preschools,-35.128902,139.256433,SA
5441,Prince Alfred College OSHC,23 Dequetteville Terrace,Kent Town,5067,Non-Government,Out of School Hours Care,-34.922791,138.618883,SA
5442,Parks Children's Ctr Occasional Care,Trafford Street,Angle Park,5010,Government,Occasional Care in Preschools,-34.858364,138.557299,SA
5443,Walford Early Learning Centre,344 Unley Road,Hyde Park,5061,Non-Government,Other Grant Funded Preschools,-34.957223,138.607663,SA
5444,Edge Kids Life Findon,241 Grange Road,Findon,5023,Non-Government,Private CCCs,-34.9045905,138.539267,SA
5445,Sunrise Christian Schl Paradise OSHC,4 Crowle Road,Paradise,5075,Non-Government,Out of School Hours Care,-34.870599,138.668142,SA
5446,Morphett Vale Primary School OSHC,Lawrence Street,Morphett Vale,5162,Government,Out of School Hours Care,-35.107646,138.514521,SA
5447,Stepping Stone Tanunda OSHC,150-152 Murray Street,Tanunda,5352,Non-Government,Out of School Hours Care,-34.518404,138.967329,SA
5448,Immanuel PS Camp Australia OSHC,Cnr Saratoga Drive & Morphett Road,Novar Gardens,5040,Non-Government,Out of School Hours Care,-34.972161,138.536478,SA
