id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
552,Gogango State School,10 Wills Street,Gogango,4702,State,Early Childhood to Year 6,-23.664791,150.044426,QLD
5477,Gold Coast Christian College (Reedy Creek),7-9 Bridgman Drive,Reedy Creek,4227,Independent,Prep Year to Year 12,-28.103771,153.400256,QLD
1920,Golden Beach State School,Gregory Street,Golden Beach,4551,State,Prep Year to Year 6,-26.814446,153.116844,QLD
407,Gooburrum State School,14 Gooburrum Road,Gooburrum,4670,State,Prep Year to Year 6,-24.822707,152.305952,QLD
5437,Good Counsel College (Innisfail),66 Owen Street,Innisfail,4860,Catholic,Year 7 to Year 12,-17.520798,146.028513,QLD
5263,Good Counsel Primary School (Innisfail),96 Rankin Street,Innisfail,4860,Catholic,Prep Year to Year 6,-17.521294,146.028891,QLD
5768,Good News Lutheran School (Middle Park),49 Horizon Drive,Middle Park,4074,Independent,Prep Year to Year 6,-27.5553,152.927692,QLD
A106,Good Samaritan Catholic College (Bli Bli),185 Parklakes Drive,Bli Bli,4560,Catholic,Prep Year to Year 7,-26.59618,153.02097,QLD
5421,Good Shepherd Catholic College (Mount Isa),Cnr Mary and Camooweal Streets,Mount Isa,4825,Catholic,Year 7 to Year 12,-20.722087,139.49453,QLD
7612,Good Shepherd Catholic Primary School (Springfield Lakes),58 Opperman Drive,Springfield Lakes,4300,Catholic,Prep Year to Year 6,-27.695975,152.910131,QLD
308,Good Shepherd Catholic School (Rasmussen),65 Allambie Lane,Rasmussen,4815,Catholic,Prep Year to Year 6,-19.364326,146.72448,QLD
5161,Good Shepherd Christian School (Albany Creek),185 Old Northern Road,Albany Creek,4035,Independent,Prep Year to Year 12,-27.343939,152.965516,QLD
5520,Good Shepherd Lutheran College (Noosaville),115 Eumundi Road,Noosaville,4566,Independent,Prep Year to Year 12,-26.408584,153.049301,QLD
3034,Goodna Special School,65 Queen Street,Goodna,4300,State,Prep Year to Year 12,-27.615256,152.893908,QLD
45,Goodna State School,1 Albert Street,Goodna,4300,State,Prep Year to Year 6,-27.606915,152.893662,QLD
