id,school_name,school_type,Official Low Year Level,Official High Year Level,school_address,suburb,postcode,Sector,sector,school_lon,school_lat
5817,A B Paterson College (Arundel),,Prep Year,Year 12,10 A B Paterson Drive,Arundel,4214,Non-State,Independent,153.360364,-27.927672
591,Abercorn State School,,Prep Year,Year 6,957 Wuruma Dam Road,Abercorn,4627,State,,151.127031,-25.135955
1275,Abergowrie State School,,Prep Year,Year 6,5 Venables Road,Abergowrie,4850,State,,145.88351,-18.474697
5588,Aboriginal & Islander Independent Community School (Acacia Ridge),,Prep Year,Year 12,1277 Beaudesert Road,Acacia Ridge,4110,Non-State,Independent,153.025757,-27.581562
25,Acacia Ridge State School,,Early Childhood,Year 6,Nyngam Street,Acacia Ridge,4110,State,,153.016074,-27.579554
1983,Agnes Water State School,,Prep Year,Year 6,1 Donohue Drive,Agnes Water,4677,State,,151.91056,-24.213972
598,Airville State School,,Prep Year,Year 6,Old Clare Road,Airville,4807,State,,147.347629,-19.65519
801,Aitkenvale State School,,Prep Year,Year 6,67-85 Wotton Street,Aitkenvale,4814,State,,146.763058,-19.296785
2155,Albany Creek State High School,,Year 7,Year 12,Albany Forest Drive,Albany Creek,4035,State,,152.968606,-27.357634
190,Albany Creek State School,,Prep Year,Year 6,696 Albany Creek Road,Albany Creek,4035,State,,152.970666,-27.34586
1892,Albany Hills State School,,Prep Year,Year 6,Keong Road,Albany Creek,4035,State,,152.97278,-27.36034
5636,Albert Park Flexible Learning Centre (Milton),,Year 11,Year 12,1 Hale Street,Milton,4064,Non-State,Catholic,153.010813,-27.4659
38,Albert State School,,Prep Year,Year 6,210-220 Albert Street,Maryborough,4650,State,,152.703888,-25.546785
2017,Aldridge State High School,,Year 7,Year 12,Boys Avenue,Maryborough,4650,State,,152.688545,-25.516557
1963,Alexandra Bay State School,,Early Childhood,Year 6,Lot 1 Cape Tribulation Road,Diwan,4873,State,,145.42225,-16.213862
2175,Alexandra Hills State High School,,Year 7,Year 12,Windemere Road,Alexandra Hills,4161,State,,153.215428,-27.523768
405,Alexandra Hills State School,,Prep Year,Year 6,12 Princeton Avenue,Alexandra Hills,4161,State,,153.221279,-27.518141
1866,Algester State School,,Prep Year,Year 6,19 Endiandra Street,Algester,4115,State,,153.031915,-27.615675
5369,All Hallows' School (Brisbane),,Year 5,Year 12,547 Ann Street,Brisbane,4000,Non-State,Catholic,153.032816,-27.460894
5452,All Saints Anglican School (Merrimac),,Prep Year,Year 12,Highfield Drive,Merrimac,4226,Non-State,Independent,153.361156,-28.060893
5600,All Saints Primary School (Albany Creek),,Prep Year,Year 6,4 Faheys Road East,Albany Creek,4035,Non-State,Catholic,152.970693,-27.350094
5111,All Saints' School (Boonah),,Prep Year,Year 6,15 Oliver Street,Boonah,4310,Non-State,Catholic,152.686423,-28.000349
5451,All Souls St Gabriels School (Charters Towers),,Prep Year,Year 12,30 Dr George Ellis Drive,Charters Towers,4820,Non-State,Independent,146.276724,-20.062721
155,Allenstown State School,,Prep Year,Year 6,Upper Dawson Road,Allenstown,4700,State,,150.502671,-23.391906
773,Alligator Creek State School,,Prep Year,Year 6,50 Grasstree Road,Alligator Creek,4740,State,,149.211559,-21.329398
3,Allora P-10 State School,,Prep Year,Year 10,21 Warwick Street,Allora,4362,State,,151.986183,-28.036194
430,Alloway State School,,Prep Year,Year 6,4334 Goodwood Road,Alloway,4670,State,,152.378285,-24.952136
870,Aloomba State School,,Prep Year,Year 6,Nielsen Street,Aloomba,4871,State,,145.831978,-17.10984
517,Alpha State School,,Prep Year,Year 10,Milton Street,Alpha,4724,State,,146.642263,-23.650791
9628,Alta-1 College (Caboolture),,Year 11,Year 12,94 Parish Road,Caboolture,4510,Non-State,Independent,152.941507,-27.071032
1719,Amamoor State School,,Prep Year,Year 6,2 Elizabeth Street,Amamoor,4570,State,,152.67315,-26.346411
115,Amberley District State School,,Prep Year,Year 6,37 Deebing Creek Road,Yamanto,4305,State,,152.750141,-27.65749
1415,Ambrose State School,,Prep Year,Year 6,39 Gentle Annie Road,Ambrose,4695,State,,150.921893,-23.786492
5077,Ambrose Treacy College (Indooroopilly),,Year 4,Year 12,Twigg Street,Indooroopilly,4068,Non-State,Catholic,152.966903,-27.507571
1629,Amiens State School,,Prep Year,Year 6,1337 Amiens Road,Amiens,4380,State,,151.812654,-28.594568
474,Anakie State School,,Prep Year,Year 6,Cook Street,The Gemfields,4702,State,,147.745856,-23.554011
1572,Andergrove State School,,Prep Year,Year 6,Fernleigh Avenue,Andergrove,4740,State,,149.188241,-21.086247
A057,Angelorum College (Fortitude Valley),,Prep Year,Year 10,377 St Pauls Terrace,Fortitude Valley,4006,Non-State,Independent,153.032768,-27.455604
5446,Anglican Church Grammar School (East Brisbane),,Prep Year,Year 12,Oaklands Parade,East Brisbane,4169,Non-State,Independent,153.051077,-27.48166
5573,Annandale Christian College (Annandale),,Prep Year,Year 12,104-156 Yolanda Drive,Annandale,4814,Non-State,Independent,146.78026,-19.312706
440,Annandale State School,,Prep Year,Year 6,Cnr Oleander Street & Yolanda Drive,Annandale,4814,State,,146.778441,-19.315285
1294,Applethorpe State School,,Prep Year,Year 6,25576 New England Highway,Applethorpe,4378,State,,151.955354,-28.612562
5316,Aquinas College (Ashmore),,Year 7,Year 12,Edmund Rice Drive,Ashmore,4214,Non-State,Catholic,153.382676,-27.97591
312,Aramac State School,,Early Childhood,Year 10,69 Porter Street,Aramac,4726,State,,145.242684,-22.974429
1266,Aratula State School,,Prep Year,Year 6,41 Elizabeth Street,Aratula,4309,State,,152.544186,-27.980839
9087,Arcadia College (Varsity Lakes),,Year 7,Year 12,1 Bellvue Drive,Varsity Lakes,4227,Non-State,Independent,153.412311,-27.96367
813,Arcadia Valley State School,,Early Childhood,Year 6,4831 Arcadia Valley Road,Arcadia Valley,4454,State,,148.820874,-25.255099
A740,Arethusa College (Deception Bay),,Year 7,Year 12,1-83 Deception Bay Road,Deception Bay,4508,Non-State,Independent,152.98686,-27.178469
1997,Arundel State School,,Prep Year,Year 6,Cnr Napper Road & Arundel Drive,Arundel,4214,State,,153.36587,-27.945078
296,Ascot State School,,Prep Year,Year 6,Pringle Street,Ascot,4007,State,,153.055952,-27.432671
186,Ashgrove State School,,Prep Year,Year 6,31 Glory Street,Ashgrove,4060,State,,152.976542,-27.448125
1871,Ashmore State School,,Prep Year,Year 6,Currumburra Road,Ashmore,4214,State,,153.381323,-27.989147
512,Ashwell State School,,Prep Year,Year 6,35 Reinke Road,Ashwell,4340,State,,152.556566,-27.629413
1004,Aspley East State School,,Prep Year,Year 6,31 Helena Street,Aspley,4034,State,,153.023968,-27.362313
3031,Aspley Special School,,Year 7,Year 12,751 Zillmere Road,Aspley,4034,State,,153.021118,-27.356718
2076,Aspley State High School,,Year 7,Year 12,651 Zillmere Road,Aspley,4034,State,,153.024213,-27.357169
610,Aspley State School,,Early Childhood,Year 6,Maundrell Terrace,Aspley,4034,State,,153.014592,-27.369898
5313,Assisi Catholic College (Upper Coomera),,Prep Year,Year 12,173 Billinghurst Crescent,Upper Coomera,4209,Non-State,Catholic,153.302142,-27.858338
5393,Assumption College (Warwick),,Year 7,Year 12,6 Locke Street,Warwick,4370,Non-State,Catholic,152.027987,-28.225162
2051,Atherton State High School,,Year 7,Year 12,Maunds Road,Atherton,4883,State,,145.486092,-17.260064
789,Atherton State School,,Prep Year,Year 6,Armstrong Street,Atherton,4883,State,,145.481622,-17.261668
357,Augathella State School,,Early Childhood,Year 6,Cavanagh Street,Augathella,4477,State,,146.583358,-25.79714
7120,Augusta State School,,Early Childhood,Year 6,60-100 Brittains Road,Augustine Heights,4300,State,,152.876523,-27.655808
274,Aurukun State School,,Early Childhood,Year 12,Wuungkam Street,Aurukun,4892,State,,141.729393,-13.353032
1677,Australian Christian College - Moreton (Caboolture),,Prep Year,Year 12,34 Cottrill Road,Caboolture,4510,Non-State,Independent,152.95259,-27.057676
A818,Australian Industry Trade College - Ipswich (North Ipswich),,Year 10,Year 12,17 Lowry Street,North Ipswich,4305,Non-State,Independent,152.76157,-27.6075
9979,Australian Industry Trade College - Redlands (Cleveland),,Year 10,Year 12,233 Middle Street,Cleveland,4163,Non-State,Independent,153.281938,-27.526604
A798,Australian Industry Trade College - Toowoomba (Toowoomba City),,Year 10,Year 12,1-3 Russell Street,Toowoomba City,4350,Non-State,Independent,151.955617,-27.559244
5740,Australian Industry Trade College (Robina),,Year 10,Year 12,281 Scottsdale Drive,Robina,4226,Non-State,Independent,153.39261,-28.091614
5396,Australian International Islamic College (Durack),,Prep Year,Year 12,724 Blunder Road,Durack,4077,Non-State,Independent,152.987738,-27.597667
9977,Australian Technology and Agricultural College (North Maclean),,Year 10,Year 12,Cnr Mt Lindesay Highway and Trace Road,North Maclean,4280,Non-State,Independent,153.012871,-27.777759
5690,Australian Trade College North Brisbane (Scarborough),,Year 11,Year 12,294 Scarborough Road,Scarborough,4020,Non-State,Independent,153.110018,-27.205235
5893,Autism Queensland Education & Therapy Centre (Sunnybank Hills),,Prep Year,Year 12,437 Hellawell Road,Sunnybank Hills,4109,Non-State,Independent,153.043103,-27.597484
2078,Aviation High,,Year 7,Year 12,Widdop Street,Hendra,4011,State,,153.062996,-27.414323
1901,Avoca State School,,Prep Year,Year 6,Twyford Street,Avoca,4670,State,,152.313454,-24.883639
572,Avondale State School,,Prep Year,Year 6,371 Avondale Road,Avondale,4670,State,,152.160664,-24.735813
2008,Ayr State High School,,Year 7,Year 12,Cnr Edwards & Wickham Streets,Ayr,4807,State,,147.409618,-19.577045
451,Ayr State School,,Prep Year,Year 6,141 Graham Street,Ayr,4807,State,,147.400553,-19.579099
1466,Babinda State School,,Prep Year,Year 12,Boulders Road,Babinda,4861,State,,145.912648,-17.345975
317,Back Plains State School,,Prep Year,Year 6,874 Clifton-Pittsworth Highway,Back Plains,4361,State,,151.784224,-27.892622
906,Bajool State School,,Prep Year,Year 6,Toonda Street,Bajool,4699,State,,150.646749,-23.6523
1689,Balaclava State School,,Prep Year,Year 6,418 Mulgrave Road,Mooroobool,4870,State,,145.744947,-16.936708
4,Bald Hills State School,,Prep Year,Year 6,2156 Gympie Road,Bald Hills,4036,State,,153.006826,-27.320095
1164,Ballandean State School,,Prep Year,Year 6,Bent's Road,Ballandean,4382,State,,151.841491,-28.79861
2043,Balmoral State High School,,Year 7,Year 12,Cnr Thynne & Lytton Roads,Balmoral,4171,State,,153.072786,-27.45601
521,Banana State School,,Prep Year,Year 6,32 Bramston Street,Banana,4702,State,,150.129998,-24.469999
1989,Banksia Beach State School,,Early Childhood,Year 6,Sunderland Road,Banksia Beach,4507,State,,153.148339,-27.046341
1605,Baralaba State School,,Early Childhood,Year 10,1 Power Street,Baralaba,4702,State,,149.809756,-24.181073
531,Barcaldine Prep-12 State School,,Early Childhood,Year 12,Gidyea Street,Barcaldine,4725,State,,145.294011,-23.558838
1041,Bardon State School,,Prep Year,Year 6,330 Simpsons Road,Bardon,4065,State,,152.972139,-27.459916
702,Bargara State School,,Prep Year,Year 6,591 Bargara Road,Mon Repos,4670,State,,152.43876,-24.822161
A109,Baringa State Primary School,,Prep Year,Year 6,30 Baringa Drive,Caloundra South,4551,State,,153.081063,-26.807568
777,Barkly Highway State School,,Early Childhood,Year 6,3-17 Bougainville Street,Soldiers Hill,4825,State,,139.489312,-20.70767
3056,Barrett Adolescent Centre Special School,,Year 7,Year 12,38 Lofter Street,Tennyson,4105,State,,153.003241,-27.527284
1730,Bartle Frere State School,,Prep Year,Year 6,29 Price Road,Bartle Frere,4861,State,,145.885217,-17.444645
387,Bauhinia State School,,Early Childhood,Year 6,11559 Fitzroy Development Road,Bauhinia,4718,State,,149.296066,-24.566682
966,Bauple State School,,Prep Year,Year 6,44 Forestry Road,Bauple,4650,State,,152.622887,-25.812184
1798,Bay View State School,,Prep Year,Year 6,77 Ziegenfusz Road,Thornlands,4164,State,,153.261816,-27.563749
5579,Bayside Christian College Hervey Bay (Urraween),,Prep Year,Year 11,171 Pantlins Lane,Urraween,4655,Non-State,Independent,152.815309,-25.298656
1961,Beachmere State School,,Prep Year,Year 6,James Road,Beachmere,4510,State,,153.04769,-27.131538
1672,Beaconsfield State School,,Prep Year,Year 6,Nadina Street,Beaconsfield,4740,State,,149.171331,-21.093329
2083,Beaudesert State High School,,Year 7,Year 12,271-297 Brisbane Street,Beaudesert,4285,State,,152.997001,-27.970749
158,Beaudesert State School,,Early Childhood,Year 6,17 Tina Street,Beaudesert,4285,State,,153.002363,-27.988875
1019,Bedourie State School,,Early Childhood,Year 6,Timor Street,Bedourie,4829,State,,139.471353,-24.360325
681,Beechmont State School,,Prep Year,Year 6,1922 Beechmont Road,Beechmont,4211,State,,153.185673,-28.12486
3051,Beenleigh Special School,,Prep Year,Year 12,52-74 Mount Warren Boulevard,Mount Warren Park,4207,State,,153.20115,-27.724668
2084,Beenleigh State High School,,Year 7,Year 12,Alamein Street,Beenleigh,4207,State,,153.204418,-27.715327
6,Beenleigh State School,,Prep Year,Year 6,22 James Street,Beenleigh,4207,State,,153.199788,-27.717928
1598,Beerburrum State School,,Prep Year,Year 6,8 Beerburrum Road,Beerburrum,4517,State,,152.957276,-26.956986
2109,Beerwah State High School,,Year 7,Year 12,35 Roberts Road,Beerwah,4519,State,,152.954038,-26.862792
569,Beerwah State School,,Early Childhood,Year 6,2788 Old Gympie Road,Beerwah,4519,State,,152.939936,-26.855415
187,Begonia State School,,Early Childhood,Year 6,St George-Mitchell Road,Begonia,4487,State,,148.324991,-27.491787
509,Belgian Gardens State School,,Prep Year,Year 6,43 Potts Street,Belgian Gardens,4810,State,,146.792881,-19.250797
781,Bell State School,,Prep Year,Year 10,90 Dennis Street,Bell,4408,State,,151.452992,-26.939739
9322,Bellbird Park State Secondary College,,Year 7,Year 10,2 Alesana Drive,Bellbird Park,4300,State,,152.883787,-27.640517
1768,Bellenden Ker State School,,Prep Year,Year 6,Harvey Creek Road,Bellenden Ker,4871,State,,145.925126,-17.266693
1925,Bellevue Park State School,,Prep Year,Year 6,Sapium Road,Ashmore,4214,State,,153.396254,-27.995615
9319,Bellmere State School,,Prep Year,Year 6,176 Dobson Lane,Bellmere,4510,State,,152.915833,-27.093611
226,Belmont State School,,Prep Year,Year 6,Old Cleveland Road,Carindale,4152,State,,153.115625,-27.503012
393,Benaraby State School,,Prep Year,Year 6,17 O'Connor Road,Benaraby,4680,State,,151.323819,-24.003765
1631,Benarkin State School,,Prep Year,Year 6,Scott Street,Benarkin,4306,State,,152.141799,-26.884469
2150,Benowa State High School,,Year 7,Year 12,Mediterranean Drive,Benowa,4217,State,,153.388506,-28.004753
481,Benowa State School,,Early Childhood,Year 6,314-358 Benowa Road,Benowa,4217,State,,153.391147,-28.007731
452,Bentley Park College,,Prep Year,Year 12,McLaughlin Road,Bentley Park,4869,State,,145.740081,-17.009376
1867,Berrinba East State School,,Prep Year,Year 6,165 Bardon Road,Berrinba,4117,State,,153.097758,-27.652127
1546,Berserker Street State School,,Prep Year,Year 6,Berserker Street,Berserker,4701,State,,150.52991,-23.365464
5491,Bethania Lutheran Primary School (Bethania),,Prep Year,Year 6,66 Glastonbury Drive,Bethania,4205,Non-State,Independent,153.157835,-27.69434
5761,Bethany Lutheran Primary School (Raceview),,Prep Year,Year 6,126 Cascade Street,Raceview,4305,Non-State,Independent,152.776463,-27.637352
996,Biboohra State School,,Prep Year,Year 6,Petersen Street,Biboohra,4880,State,,145.41914,-16.915896
1663,Biddeston State School,,Prep Year,Year 6,2425 Cecil Plains Road,Biddeston,4401,State,,151.697336,-27.55414
666,Biggenden State School,,Prep Year,Year 10,Frederick Street,Biggenden,4621,State,,152.047434,-25.510709
65,Biggera Waters State School,,Prep Year,Year 6,Cnr Morala Avenue & Coombabah Road,Biggera Waters,4216,State,,153.397355,-27.927255
2085,Biloela State High School,,Year 7,Year 12,Cnr Scoria Street & Gladstone Road,Biloela,4715,State,,150.517836,-24.398895
1822,Biloela State School,,Early Childhood,Year 6,48 Rainbow Street,Biloela,4715,State,,150.516145,-24.398384
1397,Binjour Plateau State School,,Prep Year,Year 6,18401 Burnett Highway,Binjour,4625,State,,151.456646,-25.515779
A737,Birali Steiner School (Beachmere),,Prep Year,Year 7,670 Beachmere Road,Beachmere,4510,Non-State,Independent,153.036344,-27.11654
1679,Birdsville State School,,Early Childhood,Year 6,Adelaide Street,Birdsville,4482,State,,139.352702,-25.898441
1915,Birkdale South State School,,Prep Year,Year 6,451 Old Cleveland Road East,Birkdale,4159,State,,153.212623,-27.505887
1545,Birkdale State School,,Prep Year,Year 6,74 Agnes Street,Birkdale,4159,State,,153.216116,-27.4912
5500,Blackall Range Independent School (Kureelpa),,Prep Year,Year 12,551 Mapleton Road,Kureelpa,4560,Non-State,Independent,152.901288,-26.617844
299,Blackall State School,,Prep Year,Year 12,Cnr Hawthorne & Shamrock Streets,Blackall,4472,State,,145.469681,-24.425603
739,Blackbutt State School,,Prep Year,Year 6,Crofton Street,Blackbutt,4314,State,,152.10395,-26.890508
5800,Blackheath and Thornburgh College (Charters Towers),,Prep Year,Year 12,55 King Street,Charters Towers,4820,Non-State,Independent,146.256862,-20.070551
1891,Blackwater North State School,,Early Childhood,Year 6,William Street,Blackwater,4717,State,,148.886472,-23.566293
2134,Blackwater State High School,,Year 7,Year 12,Elm Street,Blackwater,4717,State,,148.88274,-23.57248
396,Blackwater State School,,Prep Year,Year 6,Wey Street,Blackwater,4717,State,,148.877854,-23.58342
1565,Blair State School,,Prep Year,Year 6,Cribb Street,Sadliers Crossing,4305,State,,152.748501,-27.612002
316,Blenheim State School,,Prep Year,Year 6,81 Blenheim Road,Blenheim,4341,State,,152.331787,-27.650135
952,Bli Bli State School,,Prep Year,Year 6,School Road,Bli Bli,4560,State,,153.031973,-26.613764
1173,Bloomfield River State School,,Prep Year,Year 6,3202 Rossville-Bloomfield Road,Bloomfield,4895,State,,145.341398,-15.935214
981,Bloomsbury State School,,Prep Year,Year 6,8545 Bruce Highway,Bloomsbury,4799,State,,148.59555,-20.702837
612,Bluewater State School,,Prep Year,Year 6,Buckby Street,Bluewater,4818,State,,146.555658,-19.174864
344,Bluff State School,,Prep Year,Year 6,Main Street,Bluff,4702,State,,149.068871,-23.582155
1299,Bohlevale State School,,Early Childhood,Year 6,Bohlevale School Road,Burdell,4818,State,,146.685598,-19.24885
425,Bollon State School,,Early Childhood,Year 6,Main Street,Bollon,4488,State,,147.475661,-28.031512
2105,Boonah State High School,,Year 7,Year 12,32 Macquarie Street,Boonah,4310,State,,152.689172,-27.995422
333,Boonah State School,,Prep Year,Year 6,Park Street,Boonah,4310,State,,152.681179,-27.997753
1603,Boondall State School,,Prep Year,Year 6,Cnr Sandgate & Roscommon Roads,Boondall,4034,State,,153.059312,-27.348419
1542,Booyal Central State School,,Prep Year,Year 6,31620 Bruce Highway,Booyal,4671,State,,152.032462,-25.209454
A015,Border Rivers Christian College (Goondiwindi),,Prep Year,Year 12,194 Marshall Street,Goondiwindi,4390,Non-State,Independent,150.316711,-28.5514
1981,Boronia Heights State School,,Prep Year,Year 6,194 Middle Road,Boronia Heights,4124,State,,153.01781,-27.68428
899,Bororen State School,,Prep Year,Year 6,1 Kent Street,Bororen,4678,State,,151.491993,-24.244368
57,Bouldercombe State School,,Prep Year,Year 6,52599 Burnett Highway,Bouldercombe,4702,State,,150.471788,-23.564135
595,Boulia State School,,Early Childhood,Year 6,Templeton Street,Boulia,4829,State,,139.910963,-22.908441
6134,Bounty Boulevard State School,,Prep Year,Year 6,195 Bounty Boulevard,North Lakes,4509,State,,153.008052,-27.215694
2065,Bowen State High School,,Year 7,Year 12,1-9 Argyle Park Road,Bowen,4805,State,,148.235577,-19.999111
10,Bowen State School,,Early Childhood,Year 6,29 Kennedy Street,Bowen,4805,State,,148.243824,-20.010151
815,Bowenville State School,,Prep Year,Year 6,Irvingdale Road,Bowenville,4404,State,,151.493977,-27.303739
1191,Boyne Island State School,,Prep Year,Year 6,151 Malpas Street,Boyne Island,4680,State,,151.356403,-23.950159
1465,Boynewood State School,,Prep Year,Year 6,1138 Durong Road,Boynewood,4626,State,,151.254846,-25.654999
2118,Bracken Ridge State High School,,Year 7,Year 12,68 Barfoot Street,Bracken Ridge,4017,State,,153.044096,-27.307357
772,Bracken Ridge State School,,Prep Year,Year 6,1 Binburra Street,Bracken Ridge,4017,State,,153.042058,-27.325195
466,Brandon State School,,Prep Year,Year 6,Drysdale Street,Brandon,4808,State,,147.348591,-19.553714
1066,Branyan Road State School,,Prep Year,Year 6,Branyan Drive,Branyan,4670,State,,152.293888,-24.892716
571,Brassall State School,,Prep Year,Year 6,Pine Mountain Road,Brassall,4305,State,,152.748329,-27.588404
2173,Bray Park State High School,,Year 7,Year 12,Lavarack Road,Bray Park,4500,State,,152.961965,-27.299893
339,Bray Park State School,,Prep Year,Year 6,Hopetoun Street,Bray Park,4500,State,,152.975298,-27.293504
2050,Bremer State High School,,Year 7,Year 12,133-153 Warwick Road,Ipswich,4305,State,,152.755332,-27.633359
2181,Bribie Island State High School,,Year 7,Year 12,First Avenue,Bongaree,4507,State,,153.166077,-27.082965
540,Bribie Island State School,,Prep Year,Year 6,31-63 First Avenue,Bongaree,4507,State,,153.161896,-27.083259
1133,Brigalow State School,,Prep Year,Year 6,Warrego Highway,Brigalow,4412,State,,150.779251,-26.836451
1669,Brighton State School,,Prep Year,Year 6,2 North Road,Brighton,4017,State,,153.051226,-27.294286
7573,Brightwater State School,,Prep Year,Year 6,20 Dianella Drive,Mountain Creek,4557,State,,153.111567,-26.709163
5345,Brigidine College (Indooroopilly),,Year 7,Year 12,53 Ward Street,Indooroopilly,4068,Non-State,Catholic,152.980432,-27.500574
2073,Brisbane Adventist College (Mansfield),,Prep Year,Year 12,303A Broadwater Road,Mansfield,4122,Non-State,Independent,153.09761,-27.544597
2104,Brisbane Bayside State College,,Year 7,Year 12,Network Drive,Wynnum West,4178,State,,153.149996,-27.461983
5465,Brisbane Boys' College (Toowong),,Prep Year,Year 12,Kensington Terrace,Toowong,4066,Non-State,Independent,152.987731,-27.487004
207,Brisbane Central State School,,Prep Year,Year 6,Rogers Street,Spring Hill,4000,State,,153.027198,-27.459289
5883,"Brisbane Christian College (Golda Ave, Salisbury)",,Prep Year,Year 5,109 Golda Avenue,Salisbury,4107,Non-State,Independent,153.039059,-27.557803
5510,Brisbane Girls Grammar School (Brisbane),,Year 7,Year 12,Gregory Terrace,Brisbane,4000,Non-State,Independent,153.019826,-27.459069
5509,Brisbane Grammar School (Brisbane),,Year 5,Year 12,24 Gregory Terrace,Brisbane,4000,Non-State,Independent,153.018621,-27.459894
5503,Brisbane Independent School (Pullenvale),,Prep Year,Year 6,2447 Moggill Road,Pullenvale,4069,Non-State,Independent,152.918721,-27.524134
5791,Brisbane Montessori School (Fig Tree Pocket),,Prep Year,Year 10,Mactier Street,Fig Tree Pocket,4069,Non-State,Independent,152.961248,-27.532449
3605,Brisbane School of Distance Education,,Early Childhood,Year 12,Cnr Stanley Street & Cavendish Road,Coorparoo,4151,State,,153.053816,-27.486555
2003,Brisbane State High School,,Year 7,Year 12,Cnr Cordelia and Glenelg Streets,South Brisbane,4101,State,,153.018099,-27.481774
2294,Brisbane Youth Education and Training Centre,,Year 5,Year 12,99 Wolston Park Road,Wacol,4076,State,,152.914984,-27.592473
1381,Broadbeach State School,,Prep Year,Year 6,Alexandra Avenue,Broadbeach,4218,State,,153.434552,-28.035756
1071,Broadwater State School,,Prep Year,Year 6,638 Texas Road,Broadwater,4380,State,,151.878666,-28.655515
16,Brookfield State School,,Prep Year,Year 6,36 Boscombe Road,Brookfield,4069,State,,152.913587,-27.495113
311,Brookstead State School,,Prep Year,Year 6,30 Ware Street,Brookstead,4364,State,,151.450522,-27.75801
1035,Brooweena State School,,Prep Year,Year 6,Lahey Street,Brooweena,4620,State,,152.26107,-25.598941
2164,Browns Plains State High School,,Year 7,Year 12,Ivor Street,Browns Plains,4118,State,,153.054003,-27.669922
1922,Browns Plains State School,,Early Childhood,Year 6,1-29 Mayfair Drive,Browns Plains,4118,State,,153.05457,-27.667726
1939,Bucasia State School,,Prep Year,Year 6,13 Kemp Street,Bucasia,4750,State,,149.157804,-21.030957
1888,Buddina State School,,Prep Year,Year 6,Cnr Tumut Street & Iluka Avenue,Buddina,4575,State,,153.133162,-26.702191
223,Buderim Mountain State School,,Prep Year,Year 6,8-42 Main Street,Buderim,4556,State,,153.053898,-26.684588
1124,Builyan State School,,Early Childhood,Year 6,Gladstone Road,Boyne Valley,4680,State,,151.385482,-24.52931
17,Bulimba State School,,Prep Year,Year 6,Oxford Street,Bulimba,4171,State,,153.06505,-27.453162
962,Bullyard State School,,Prep Year,Year 6,2358 Bucca Road,Bullyard,4671,State,,152.061257,-24.950098
18,Bundaberg Central State School,,Prep Year,Year 6,13 Crofton Street,Bundaberg Central,4670,State,,152.348234,-24.869865
384,Bundaberg Christian College (Bundaberg),,Prep Year,Year 12,234 Ashfield Road,Bundaberg,4670,Non-State,Independent,152.407598,-24.867733
497,Bundaberg East State School,,Prep Year,Year 6,33 Scotland Street,Bundaberg East,4670,State,,152.372561,-24.862297
2019,Bundaberg North State High School,,Year 7,Year 12,9 Marks Street,Bundaberg North,4670,State,,152.339615,-24.849464
161,Bundaberg North State School,,Prep Year,Year 6,Mount Perry Road,Bundaberg North,4670,State,,152.340454,-24.851878
637,Bundaberg South State School,,Prep Year,Year 6,Walla Street,Bundaberg South,4670,State,,152.360627,-24.871019
3029,Bundaberg Special School,,Prep Year,Year 12,Dr Mays Road,Norville,4670,State,,152.338871,-24.88688
2004,Bundaberg State High School,,Year 7,Year 12,37 Maryborough Street,Bundaberg South,4670,State,,152.349889,-24.877041
1836,Bundaberg West State School,,Prep Year,Year 6,George Street,Bundaberg West,4670,State,,152.333841,-24.876259
19,Bundamba State School,,Early Childhood,Year 6,221 Brisbane Road,Bundamba,4304,State,,152.804464,-27.611295
2130,Bundamba State Secondary College,,Year 7,Year 12,15a Naomai Street,Bundamba,4304,State,,152.813679,-27.614916
1508,Bungunya State School,,Prep Year,Year 6,George Street,Bungunya,4494,State,,149.654509,-28.427099
853,Bunker's Hill State School,,Prep Year,Year 6,315 Bunkers Hill School Road,Westbrook,4350,State,,151.833327,-27.60601
894,Buranda State School,,Prep Year,Year 6,24 Cowley Street,Woolloongabba,4102,State,,153.04267,-27.497171
5422,Burdekin Catholic High School (Ayr),,Year 7,Year 12,45 Gibson Street,Ayr,4807,Non-State,Catholic,147.414525,-19.564642
5880,"Burdekin Christian College (Melbourne St, Ayr)",,Prep Year,Year 12,2-12 Melbourne Street,Ayr,4807,Non-State,Independent,147.417066,-19.572959
3003,Burdekin School,,Early Childhood,Year 12,159 Young Street,Ayr,4807,State,,147.407973,-19.578425
530,Burketown State School,,Prep Year,Year 6,Beames Street,Burketown,4830,State,,139.547822,-17.738926
1568,Burleigh Heads State School,,Early Childhood,Year 6,Lower Gold Coast Highway,Burleigh Heads,4220,State,,153.449399,-28.086874
319,Burnett Heads State School,,Prep Year,Year 6,Burnett Heads Road,Burnett Heads,4670,State,,152.414509,-24.771725
2089,Burnett State College,,Year 7,Year 12,65 Pineapple Street,Gayndah,4625,State,,151.606321,-25.631898
5680,Burnett Youth Learning Centre (Elliott),,Year 7,Year 12,3693 Goodwood Road,Elliott,4670,Non-State,Independent,152.376329,-25.007559
2145,Burnside State High School,,Year 7,Year 12,Blaxland Road,Burnside,4560,State,,152.947268,-26.630401
1873,Burnside State School,,Early Childhood,Year 6,51 Blaxland Road,Burnside,4560,State,,152.947573,-26.630419
5553,Burpengary Meadows State School,,Prep Year,Year 6,153 Rowley Road,Burpengary,4505,State,,152.938212,-27.159893
601,Burpengary State School,,Prep Year,Year 6,35 Station Road,Burpengary,4505,State,,152.959036,-27.157727
