id,school_name,school_type,Official Low Year Level,Official High Year Level,school_address,suburb,postcode,Sector,sector,school_lon,school_lat
50,Gilston State School,,Prep Year,Year 6,588 Worongary Road,Gilston,4211,State,,153.310862,-28.03949
2131,Gin Gin State High School,,Year 7,Year 12,30 High School Road,Gin Gin,4671,State,,151.968924,-24.990613
298,Gin Gin State School,,Prep Year,Year 6,13 May Street,Gin Gin,4671,State,,151.955135,-24.992476
709,Gindie State School,,Prep Year,Year 6,Cnr Old Cullen-la-ringo Road & Gregory Hwy,Gindie,4702,State,,148.140858,-23.724251
9968,Girl Academy (Wangetti Beach),,Year 8,Year 12,4099 Captain Cook Highway,Wangetti Beach,4877,Non-State,Independent,145.564343,-16.65466
1258,Giru State School,,Prep Year,Year 6,Luxton Street,Giru,4809,State,,147.109674,-19.51294
749,Givelda State School,,Prep Year,Year 6,754 Pine Creek Road,Givelda,4670,State,,152.149213,-24.987574
44,Gladstone Central State School,,Prep Year,Year 6,74 Auckland Street,Gladstone Central,4680,State,,151.257639,-23.841864
825,Gladstone South State School,,Prep Year,Year 6,153 Toolooa Street,South Gladstone,4680,State,,151.270427,-23.86177
2030,Gladstone State High School,,Year 7,Year 12,30 Dawson Road,West Gladstone,4680,State,,151.25087,-23.851617
740,Gladstone West State School,,Prep Year,Year 6,Boles Street,West Gladstone,4680,State,,151.252587,-23.85974
149,Glamorgan Vale State School,,Prep Year,Year 6,750 Glamorgan Vale Road,Glamorgan Vale,4306,State,,152.632362,-27.51499
1242,Glass House Mountains State School,,Prep Year,Year 6,58 Coonowrin Road,Glass House Mountains,4518,State,,152.949457,-26.905549
2257,Glasshouse Christian College (Beerwah),,Prep Year,Year 12,58 Roberts Road,Beerwah,4519,Non-State,Independent,152.95187,-26.861627
544,Glen Aplin State School,,Prep Year,Year 6,54 Mount Stirling Road,Glen Aplin,4381,State,,151.873032,-28.738785
1592,Glenala State High School,,Year 7,Year 12,Glenala Road,Durack,4077,State,,152.980324,-27.586156
1918,Glenden State School,,Prep Year,Year 12,Gillham Terrace,Glenden,4743,State,,148.115806,-21.353964
1006,Gleneagle State School,,Prep Year,Year 6,126-146 Mount Lindesay Highway,Gleneagle,4285,State,,152.982453,-27.937813
313,Glenella State School,,Prep Year,Year 6,35-55 Hill End Road,Glenella,4740,State,,149.149354,-21.121496
2028,Glenmore State High School,,Year 7,Year 12,Cnr Bruce Highway & Farm Street,Kawana,4701,State,,150.51673,-23.336348
574,Glenmore State School,,Prep Year,Year 6,241-259 Farm Street,Kawana,4701,State,,150.514857,-23.337283
917,Glenmorgan State School,,Prep Year,Year 6,Clive Street,Glenmorgan,4423,State,,149.675501,-27.247455
770,Glennie Heights State School,,Prep Year,Year 6,5-12 Gillam Street,Warwick,4370,State,,152.02916,-28.201054
1089,Glenore Grove State School,,Prep Year,Year 6,3 Brightview Road,Glenore Grove,4342,State,,152.408056,-27.52996
741,Glenvale Christian School (Glenvale),,Prep Year,Year 6,623-661 Boundary Street,Glenvale,4350,Non-State,Independent,151.900098,-27.561025
126,Glenvale State School,,Prep Year,Year 6,224 Glenvale Road,Glenvale,4350,State,,151.902838,-27.562532
337,Glenview State School,,Prep Year,Year 6,6 Leeding Road,Glenview,4553,State,,153.01367,-26.765658
1617,Glenwood State School,,Prep Year,Year 6,13 Glenwood School Road,Glenwood,4570,State,,152.602633,-25.949605
552,Gogango State School,,Early Childhood,Year 6,10 Wills Street,Gogango,4702,State,,150.044426,-23.664791
5477,Gold Coast Christian College (Reedy Creek),,Prep Year,Year 12,7-9 Bridgman Drive,Reedy Creek,4227,Non-State,Independent,153.400256,-28.103771
1920,Golden Beach State School,,Prep Year,Year 6,Gregory Street,Golden Beach,4551,State,,153.116844,-26.814446
407,Gooburrum State School,,Prep Year,Year 6,14 Gooburrum Road,Gooburrum,4670,State,,152.305952,-24.822707
5437,Good Counsel College (Innisfail),,Year 7,Year 12,66 Owen Street,Innisfail,4860,Non-State,Catholic,146.028513,-17.520798
5263,Good Counsel Primary School (Innisfail),,Prep Year,Year 6,96 Rankin Street,Innisfail,4860,Non-State,Catholic,146.028891,-17.521294
5768,Good News Lutheran School (Middle Park),,Prep Year,Year 6,49 Horizon Drive,Middle Park,4074,Non-State,Independent,152.927692,-27.5553
A106,Good Samaritan Catholic College (Bli Bli),,Prep Year,Year 7,185 Parklakes Drive,Bli Bli,4560,Non-State,Catholic,153.02097,-26.59618
5421,Good Shepherd Catholic College (Mount Isa),,Year 7,Year 12,Cnr Mary and Camooweal Streets,Mount Isa,4825,Non-State,Catholic,139.49453,-20.722087
7612,Good Shepherd Catholic Primary School (Springfield Lakes),,Prep Year,Year 6,58 Opperman Drive,Springfield Lakes,4300,Non-State,Catholic,152.910131,-27.695975
308,Good Shepherd Catholic School (Rasmussen),,Prep Year,Year 6,65 Allambie Lane,Rasmussen,4815,Non-State,Catholic,146.72448,-19.364326
5161,Good Shepherd Christian School (Albany Creek),,Prep Year,Year 12,185 Old Northern Road,Albany Creek,4035,Non-State,Independent,152.965516,-27.343939
5520,Good Shepherd Lutheran College (Noosaville),,Prep Year,Year 12,115 Eumundi Road,Noosaville,4566,Non-State,Independent,153.049301,-26.408584
3034,Goodna Special School,,Prep Year,Year 12,65 Queen Street,Goodna,4300,State,,152.893908,-27.615256
45,Goodna State School,,Prep Year,Year 6,1 Albert Street,Goodna,4300,State,,152.893662,-27.606915
939,Goodwood State School,,Prep Year,Year 6,1802 Goodwood Road,Goodwood,4660,State,,152.384585,-25.145511
111,Goombungee State School,,Prep Year,Year 6,52 Mocatta Street,Goombungee,4354,State,,151.852555,-27.302058
1310,Goomeri State School,,Prep Year,Year 10,5 Munro Street,Goomeri,4601,State,,152.064895,-26.17965
807,Goondi State School,,Prep Year,Year 6,78 Maple Street,Goondi Bend,4860,State,,146.009903,-17.522819
2092,Goondiwindi State High School,,Year 7,Year 12,3 Sandhurst Street,Goondiwindi,4390,State,,150.297467,-28.537537
46,Goondiwindi State School,,Early Childhood,Year 6,34 George Street,Goondiwindi,4390,State,,150.306236,-28.543231
A659,Goora Gan Steiner School (Agnes Water),,Prep Year,Year 5,1 Surf Club Avenue,Agnes Water,4677,Non-State,Independent,151.89437,-24.19533
1839,Goovigen State School,,Prep Year,Year 6,Rannes Road,Goovigen,4702,State,,150.286434,-24.143232
2106,Gordonvale State High School,,Year 7,Year 12,85 Sheppards Street,Gordonvale,4865,State,,145.778389,-17.088716
790,Gordonvale State School,,Prep Year,Year 6,28 George Street,Gordonvale,4865,State,,145.785022,-17.090076
297,Gowrie State School,,Prep Year,Year 6,Old Homebush Road,Gowrie Junction,4352,State,,151.891457,-27.491555
5780,Grace Lutheran College (Rothwell),,Year 7,Year 12,Anzac Avenue and Mewes Road,Rothwell,4022,Non-State,Independent,153.056764,-27.218266
5760,Grace Lutheran Primary School (Clontarf),,Prep Year,Year 6,38 Maine Road,Clontarf,4019,Non-State,Independent,153.089639,-27.254208
47,Gracemere State School,,Prep Year,Year 6,O'Shanesy Street,Gracemere,4702,State,,150.453919,-23.435185
1515,Graceville State School,,Prep Year,Year 6,23 Acacia Avenue,Graceville,4075,State,,152.978762,-27.517575
1674,Grand Avenue State School,,Prep Year,Year 6,Cnr Centennial Way & Grand Avenue,Forest Lake,4078,State,,152.958183,-27.626041
145,Grandchester State School,,Prep Year,Year 6,School Road,Grandchester,4340,State,,152.465345,-27.665537
1051,Grantham State School,,Prep Year,Year 6,15 Victor Street,Grantham,4347,State,,152.202048,-27.574099
193,Granville State School,,Prep Year,Year 6,Cambridge Street,Granville,4650,State,,152.715473,-25.53851
695,Greenbank State School,,Prep Year,Year 6,12-54 Goodna Road,Greenbank,4124,State,,152.97767,-27.710389
925,Greenlands State School,,Prep Year,Year 6,1209 Texas Road,Greenlands,4380,State,,151.827463,-28.660808
976,Greenmount State School,,Prep Year,Year 6,Haldon Street,Greenmount,4359,State,,151.906796,-27.789365
614,Greenslopes State School,,Prep Year,Year 6,559 Logan Road,Greenslopes,4120,State,,153.049819,-27.50665
334,Greenvale State School,,Early Childhood,Year 6,Cassia Court,Greenvale,4816,State,,144.980551,-18.999118
9339,Griffin State School,,Prep Year,Year 6,19 Wesley Road,Griffin,4503,State,,153.024444,-27.256667
1056,Grosmont State School,,Prep Year,Year 6,2524 Grosmont Road,Grosmont,4419,State,,149.803086,-25.977791
1136,Grovely State School,,Prep Year,Year 6,200 Dawson Parade,Keperra,4054,State,,152.961386,-27.401916
1860,"Groves Christian College (Laughlin St, Kingston)",,Prep Year,Year 12,70 Laughlin Street,Kingston,4114,Non-State,Independent,153.109923,-27.660937
5113,Guardian Angels' Catholic Primary School (Ashmore),,Prep Year,Year 6,Edmund Rice Drive,Ashmore,4214,Non-State,Catholic,153.384189,-27.97305
5006,Guardian Angels' Primary School (Wynnum),,Prep Year,Year 6,188 Bay Terrace,Wynnum,4178,Non-State,Catholic,153.175848,-27.445823
5895,"Gulf Christian College (Brown St, Normanton)",,Prep Year,Year 9,24-30 Brown Street,Normanton,4890,Non-State,Independent,141.079828,-17.670983
1549,Guluguba State School,,Prep Year,Year 6,Fosters Road,Guluguba,4418,State,,150.044162,-26.25671
1608,Gumdale State School,,Prep Year,Year 6,677 New Cleveland Road,Gumdale,4154,State,,153.152432,-27.491803
1391,Gumlu State School,,Prep Year,Year 6,De Salis Street,Gumlu,4805,State,,147.685879,-19.879427
58,Gunalda State School,,Prep Year,Year 6,King Street,Gunalda,4570,State,,152.560432,-25.992745
821,Gundiah State School,,Prep Year,Year 6,23 Gundiah School Road,Gundiah,4650,State,,152.546447,-25.842417
49,Gympie Central State School,,Prep Year,Year 6,Lawrence Street,Gympie,4570,State,,152.664619,-26.188654
482,Gympie East State School,,Prep Year,Year 6,219 Cedar Pocket Road,Greens Creek,4570,State,,152.73272,-26.179851
7611,Gympie Flexible Learning Centre (Gympie),,Year 7,Year 12,2 Bowen Lane,Gympie,4570,Non-State,Catholic,152.678865,-26.186532
1221,Gympie South State School,,Prep Year,Year 6,50 Exhibition Road,Southside,4570,State,,152.645434,-26.199809
3007,Gympie Special School,,Prep Year,Year 12,52 Cootharaba Road,Gympie,4570,State,,152.680818,-26.187869
2007,Gympie State High School,,Year 7,Year 12,2 Everson Road,Gympie,4570,State,,152.67812,-26.188369
560,Gympie West State School,,Early Childhood,Year 6,41 Cartwright Road,Gympie,4570,State,,152.662105,-26.173838
1329,Haden State School,,Prep Year,Year 6,1520 Haden-Crow's Nest Road,Haden,4353,State,,151.889278,-27.224126
114,Haigslea State School,,Prep Year,Year 6,Thagoona-Haigslea Road,Haigslea,4306,State,,152.629711,-27.571711
213,Halifax State School,,Prep Year,Year 6,17 Victoria Terrace,Halifax,4850,State,,146.284602,-18.583644
538,Hambledon State School,,Prep Year,Year 6,77-83 Stokes Street,Edmonton,4869,State,,145.735657,-17.021212
1962,Hamilton Island State School,,Prep Year,Year 6,Hamilton Island,Whitsundays,4803,State,,148.953014,-20.345236
1130,Hamilton State School,,Prep Year,Year 6,Oxford Street,Hamilton,4007,State,,153.073729,-27.432705
529,Hampden State School,,Prep Year,Year 6,2880 Bruce Highway,Hampden,4741,State,,148.931147,-21.060175
1849,Hannaford State School,,Prep Year,Year 6,Hannaford Road,Hannaford,4406,State,,150.060782,-27.340412
