stop_id,state_code,Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
109,NSW,Bulli,Park,Rd,Lift,-34.3338201,150.9149316,
110,NSW,Bulli,Franklin,Ave,Path,-34.33428666,150.91491430000002,
111,NSW,Bulli,Railway,St,Path,-34.33433961,150.9146887,
112,NSW,Bundanoon,Erith,St,Ramp,-34.6557524,150.2997407,
113,NSW,Bundanoon,Church,St,Path,-34.65604988,150.29957280000002,
114,NSW,Burradoo,Burradoo,Rd,Path,-34.49418601,150.39812959999998,
115,NSW,Burradoo,Burradoo,Rd,Ramp,-34.49418573,150.3978582,
116,NSW,Burwood,Burwood,Rd,Stairs,-33.87704552,151.1038525,
117,NSW,Burwood,Burwood,Rd,Path,-33.87718853,151.1038248,
118,NSW,Cabramatta,Broomfield,St,Lift,-33.89464265,150.93910469999997,
119,NSW,Cabramatta,Broomfield,St,Stairs,-33.89480632,150.93904809999998,
120,NSW,Cabramatta,Railway,Pde,Lift,-33.89459892,150.93881340000002,
121,NSW,Cabramatta,Railway,Pde,Ramp,-33.89494229,150.9387321,
122,NSW,Cabramatta,Railway,Pde,Path,-33.89510227,150.9386596,
123,NSW,Camellia,Grand,Ave,Ramp,-33.81918103,151.024141,
124,NSW,Campbelltown,Railway,St,Ramp,-34.06418971,150.8148139,
125,NSW,Campbelltown,Hurley,St,Lift,-34.06359144,150.8147393,
126,NSW,Campbelltown,Hurley,St,Path,-34.06369952,150.81462280000002,
127,NSW,Campbelltown,Hurley,St,Stairs,-34.06367954,150.81461409999997,
128,NSW,Campbelltown,Farrow,Rd,Stairs,-34.06302424,150.81440969999997,
129,NSW,Campbelltown,Hurley,St,Lift,-34.06320084,150.81430880000002,
130,NSW,Campbelltown,Farrow,Rd,Stairs,-34.06332332,150.8140219,
131,NSW,Campsie,Beamish,St,Ramp,-33.91049597,151.103574,
132,NSW,Campsie,Beamish,St,Ramp,-33.91039285,151.10355769999998,
133,NSW,Canley Vale,First,Ave,Stairs,-33.88744308,150.9436897,
134,NSW,Canley Vale,First,Ave,Ramp,-33.88746282,150.94362969999997,
135,NSW,Canley Vale,Railway,Pde,Stairs,-33.88723441,150.9434805,
