suburb,postcode,Category,Subcategory,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
DAW PARK,5041,THEFT AND RELATED OFFENCES,Theft from shop,,,,,1,2,1,1,,,,1,,,,1,1,3,1,,,
DAW PARK,5041,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,,,1,,,,,1,2,1,1,,,1,,,1,,,2,1
DAWESLEY,5252,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,,,1,,,,1,,,,,,,,,,,
DAWESLEY,5252,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,,,,1,,,,,,,,,,
DAWESLEY,5252,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,,,,,,,,,1,,,,,
DAWESLEY,5252,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1,1,,,,,1,,1,,,,,,,,,,,,1,
DAWESLEY,5252,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,,,,,,,,,,,1,,
DAWESLEY,5252,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,,,,,,,,,1,,,
DAWESLEY,5252,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,2,,,,,,,,,,,1,
DAWESLEY,5252,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,1,,,,,,,,,,,,,,,,,1,,,
DAWSON,5422,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,1,,,,,,,,,,,,,
DAWSON,5422,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,1,,,,,1
DEEP CREEK,5204,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,1,,,,,,,,,,,,,,,
DEEP CREEK,5204,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,1,,,,,,,,,,,,,,,,,
DEEP CREEK,5204,THEFT AND RELATED OFFENCES,Other theft,,,,,,2,1,,,,,,,,,,,,,,,
DEEPWATER,5266,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,,,,,,,,,,,1,,,,,,,
DEEPWATER,5266,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,2,,,,,,,,,,,,,,,,,,
DEEPWATER,5266,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,,,,,,,,,1,,,,,,,
DEEPWATER,5266,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,1,,,,,,,
DELAMERE,5204,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,,,,,,,1,1,,,,,,,,,,
DELAMERE,5204,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,1,,,,,,,,,1,,,,,,,,,,,
DELAMERE,5204,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,,,,,,,,,,1
DELAMERE,5204,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,2,1,,,,,,,,,,,,,,,,,,
DELAMERE,5204,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,2,,1,,,,,,,,,,,,,,
DELAMERE,5204,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,1,,,,,,,,,,,,,,,,,,,
DELAMERE,5204,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,1,,,,,,,,,,,,1,,,1,,,,,1
DELAMERE,5204,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,1,,,,,,,,,,,,,,,,,,,
DELAMERE,5204,THEFT AND RELATED OFFENCES,Other theft,,1,,,1,1,,,,,,1,,,1,,1,,,,,
DELAMERE,5204,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,,,,,1,1,,,,,,,,,
DELAMERE,5204,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,1,,,,1,,,,,,,,,,,,,,1,
DELAMERE,5204,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,2,,,,,,,,,,,,,,,,1,,,
DENIAL BAY,5690,ACTS INTENDED TO CAUSE INJURY,Common Assault,,1,,,,,,,,,,,,,,,2,,,,,
DENIAL BAY,5690,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,1,,,,,,,,,,,,,,,,,2,,,
DENIAL BAY,5690,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,,,1,,,,,,,,,,,,
DENIAL BAY,5690,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,1,,,,,,,,,,,,,,,,,,,
DENIAL BAY,5690,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,1,,,,,,,,,,,,,,,
DENIAL BAY,5690,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,,,,1,,,,,,,,,
DENIAL BAY,5690,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,1,,,1,,,,,,,,,,,,,,,,
DENIAL BAY,5690,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,1,,,,,,,,,,,,,,,,,,,
DERNANCOURT,5075,ACTS INTENDED TO CAUSE INJURY,Assault Police,1,2,,,,,,,,,,2,,,,,,,,,,
DERNANCOURT,5075,ACTS INTENDED TO CAUSE INJURY,Common Assault,2,,3,,2,4,,,,,1,2,,1,,,,1,2,2,,1
DERNANCOURT,5075,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,1,,,,,,,,,2,1,,,,1,,,,,,
DERNANCOURT,5075,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2,2,1,,2,1,1,1,4,3,3,1,,8,1,2,,2,3,4,3,5
DERNANCOURT,5075,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,,,,,,,,1,,,,,,,,
DERNANCOURT,5075,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,1,,1,,1,,1,,,1,,1,1,,,,1,,1,,1
DERNANCOURT,5075,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,1,,,,,,,,,,,,,,,,1,,,,
DERNANCOURT,5075,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",4,,,,,,1,,,,2,2,,1,,,,,,,,
DERNANCOURT,5075,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,,,,,,,1,,,,,1,1,,1
DERNANCOURT,5075,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,1,,,2,,,1,,,1,1,1,,,,,,,,1
DERNANCOURT,5075,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,1,,,,,,1,,,,,1,3,,,,,,,
DERNANCOURT,5075,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3,11,4,10,6,4,8,8,10,4,7,3,4,5,3,1,2,3,7,1,4,7
DERNANCOURT,5075,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,,,1,2,,,,,,,,1,1,,,
DERNANCOURT,5075,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,,,,,,,1,,,,,,,,,,,
DERNANCOURT,5075,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,,,,,,,,,,,,,,,,,,,,,,1
DERNANCOURT,5075,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,2,1,3,1,,1,1,1,2,,,,1,,,,,,2,3,
DERNANCOURT,5075,SERIOUS CRIMINAL TRESPASS,SCT - Residence,3,6,1,8,2,2,7,3,2,2,1,7,,3,2,4,1,,1,3,6,3
DERNANCOURT,5075,THEFT AND RELATED OFFENCES,Other theft,11,7,1,4,8,6,7,6,4,7,7,4,2,7,6,3,7,12,8,13,3,8
DERNANCOURT,5075,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1,,,,,2,,,,,,,,,,,1,1,,,,
DERNANCOURT,5075,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2,4,3,1,6,9,3,4,6,5,4,,4,4,6,1,4,,5,1,5,2
DERNANCOURT,5075,THEFT AND RELATED OFFENCES,Theft from shop,1,,2,2,2,2,2,1,5,2,2,2,,1,,2,4,2,4,,3,
DERNANCOURT,5075,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,3,1,2,,,,2,,1,2,2,,2,,1,,,,1,2
DEVLINS POUND,5330,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,1,,,,,,,,,,,,,,,,,,
DEVLINS POUND,5330,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,1,,,,,,,,,
DEVON PARK,5008,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,2,,,,,,,,,,,,1,1,,,,
DEVON PARK,5008,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,5,1,,1,1,,,,3,,,,,,,,2,1,2,
DEVON PARK,5008,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,,,,,1,,,,,,,,1,,,,
DEVON PARK,5008,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,1,2,1,1,,2,2,2,2,5,,1,2,,,1,3,4,,,2
DEVON PARK,5008,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,1,,,,,1,,,1,,,,,,,,,,,
DEVON PARK,5008,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,1,1,,,,,,,,,,,,1,,
DEVON PARK,5008,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,1,,,,,1,,,1,,,1,,,,1,,,,
DEVON PARK,5008,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,,1,1,,,,,1,,,1,,,
DEVON PARK,5008,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,6,3,1,,,,,,,,,,,,,,,,2,
DEVON PARK,5008,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,6,5,8,5,9,6,5,4,6,4,3,3,8,3,6,5,3,4,10,1,3,2
DEVON PARK,5008,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,1,,2,1,,,1,,1,,,,2,2,3,,,2,,4,,
DEVON PARK,5008,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,1,1,,,,,1,1,,,,,,,,,,
DEVON PARK,5008,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,,,1,,,,,,,,,,,,,,,,,,,
DEVON PARK,5008,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,,,,,,,,,,,,1,,,,,,,,,,
DEVON PARK,5008,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,4,,1,1,,,1,,,,1,2,2,1,,,1,1,,4
DEVON PARK,5008,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1,1,4,4,1,2,2,3,3,8,3,2,2,6,3,5,6,3,1,1,3,2
DEVON PARK,5008,THEFT AND RELATED OFFENCES,Other theft,2,2,3,2,3,1,1,2,4,1,4,2,2,1,5,4,1,4,3,1,,
DEVON PARK,5008,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,2,,,1,,,,1,,,,,,1,1,1,1,,,,3
DEVON PARK,5008,THEFT AND RELATED OFFENCES,Theft from motor vehicle,6,1,3,4,10,6,2,1,3,1,1,3,8,4,1,2,2,2,,2,2,2
DEVON PARK,5008,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,2,2,,1,1,,1,1,,1,,2,,2,1,1,,1,1,,1,3
DINGABLEDINGA,5172,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,1,,,1,,,,,,,,,,,,,,
DINGABLEDINGA,5172,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,,,,,,,,,,,,,1,,,
DINGABLEDINGA,5172,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,,,,,1,,,,,,,
DINGABLEDINGA,5172,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,1,,2,,,,,1,,,,,,,
DINGABLEDINGA,5172,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,,,,,,,1,,
DIREK,5110,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,1,1,,,,,,1,,,,,,,3,,,,1,
DIREK,5110,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1,,,,,,,,,,,,,,,,,,,,,
DIREK,5110,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,1,,1,2,,,,1,2,2,,2,1,,1,2,,1,2,3
DIREK,5110,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,,,,,,,1,,1,,,2,1,1,1
DIREK,5110,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,1,,,,,,,,,,,,
DIREK,5110,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,,,,,,,,,1,,,,,1,
DIREK,5110,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,2,1,,,,,,,,,,,,,,,1,
DIREK,5110,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1,1,1,,,,1,,,,,1,,,,,,,,,,
DIREK,5110,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,4,4,3,1,2,1,1,3,6,2,,2,1,3,3,2,2,1,1,1,6
DIREK,5110,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,1,,1,,1,,1,1,,1,1,1,,,,,,1,1,1,,1
DIREK,5110,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,1,,2,,,,1,,1,1,2,4,,1,1,,1,2,,,
DIREK,5110,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1,,1,,,1,,1,,,,,,,,,1,,,1,1,1
DIREK,5110,THEFT AND RELATED OFFENCES,Other theft,1,1,5,6,2,1,2,2,1,1,4,2,8,3,6,12,16,18,14,13,15,24
DIREK,5110,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,,,,,,,1,,,,,,,,
DIREK,5110,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,1,,1,1,1,1,,1,,2,1,1,4,1,,1,1,,,1,2
DIREK,5110,THEFT AND RELATED OFFENCES,Theft from shop,,,,,,,,,,,,,1,,,,,,,,,
DIREK,5110,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,1,,1,,,,,1,3,,1,1,,,,,,,
DISMAL SWAMP,5291,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,,1,,,,,,,,,,,,
DISMAL SWAMP,5291,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,,,,,,,,,1,,,,,,,
DISMAL SWAMP,5291,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,,,,,1,1,,,,,,,
DISMAL SWAMP,5291,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,1,,,,,,,,,,,
DISMAL SWAMP,5291,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,,,,,,,,,,,,,,,2
DISMAL SWAMP,5291,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,1,,,,,,,,,,,,,,,,,
DONOVANS,5291,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,1,,,,,,,,,,,,,,
DONOVANS,5291,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,1,1,,,,,,,,,,,,,,
DONOVANS,5291,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,,,,,,,,,,,,,,,,1
DONOVANS,5291,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,,,,,1,,,,,,,,
DONOVANS,5291,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,1,1,,,,1,,,,2,1,,,,,,,,1,
DONOVANS,5291,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,1,,1,,3,,,1,,,
DONOVANS,5291,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,1,,,,,,,,,1,,,,,,
DONOVANS,5291,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,1,,,1,,,,,1,,,,,1,,,,,
DORRIEN,5355,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,,,,,1,
DORSET VALE,5157,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,,,,,1,1,,,,,,,,,,
DORSET VALE,5157,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,2,,,,,,,,,
DOUGLAS POINT,5600,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,,,1,,,,,,,,,,,
DOUGLAS POINT,5600,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1,,,,,,,,,,,,,,,,,,,,,
DOUGLAS POINT,5600,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,,,,,,1,1,,,,,,
DOUGLAS POINT,5600,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,1,2,,,,,1,,,,1,,1
DOUGLAS POINT,5600,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,1,,,,,,,,,,,
DOUGLAS POINT,5600,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,,,,,,,,,1,,,,,,
DOUGLAS POINT,5600,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,,,,,,,1,,
DOUGLAS POINT SOUTH,5600,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,,,,,1,,,,,,,
DOVER GARDENS,5048,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,,,,1,,,1,1,,3,,,1,,,,,
DOVER GARDENS,5048,ACTS INTENDED TO CAUSE INJURY,Common Assault,,2,1,2,1,2,,,1,1,1,3,3,,4,2,1,4,,2,2,4
DOVER GARDENS,5048,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,1,,,,,,,1,,,,,,,,,
DOVER GARDENS,5048,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,,,3,6,3,2,2,4,3,10,7,7,3,10,7,6,7,4,10,3,9
DOVER GARDENS,5048,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,1,1,,,1,,,1,,1,,1,,,,
DOVER GARDENS,5048,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,1,,,1,2,2,1,,,2,,2,1,1,1,2,2,,,1,
DOVER GARDENS,5048,HOMICIDE AND RELATED OFFENCES,Murder,,,,,,,,,,,,,,,,1,,,,,,
DOVER GARDENS,5048,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,,,,,,,,,,,,,,,,,,,2,,,
DOVER GARDENS,5048,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",1,,2,,,1,1,2,,1,4,1,2,,,1,1,2,4,,1,2
DOVER GARDENS,5048,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,1,,,,2,1,1,,,,,,1,,,,,,,,,
DOVER GARDENS,5048,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,3,1,1,,,1,,,,1,,1,,1,2,1,2,1,,1,,1
DOVER GARDENS,5048,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,3,2,4,,4,2,2,,1,3,,,1,,1,,5,15,3,4,5,4
DOVER GARDENS,5048,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,11,7,7,8,9,8,10,8,20,13,10,9,16,6,7,5,9,13,14,9,9,23
DOVER GARDENS,5048,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,3,1,2,1,,,2,4,1,2,,,1,1,2,2,1,,,1,,2
DOVER GARDENS,5048,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,1,,1,2,,,,,1,,,,,,,,,
DOVER GARDENS,5048,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,,,,,1,,,,,,,,,,,,,,,,,
DOVER GARDENS,5048,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,2,2,3,2,1,1,4,1,3,,2,,,3,2,2,2,1,4,2,,1
DOVER GARDENS,5048,SERIOUS CRIMINAL TRESPASS,SCT - Residence,5,13,3,4,10,5,9,2,9,4,3,9,3,7,12,2,11,8,8,4,6,4
DOVER GARDENS,5048,THEFT AND RELATED OFFENCES,Other theft,10,6,5,2,2,4,5,4,3,7,4,3,5,2,3,1,2,6,2,8,6,7
DOVER GARDENS,5048,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1,1,,,,,2,,,,2,,,,,,,,1,,,7
DOVER GARDENS,5048,THEFT AND RELATED OFFENCES,Theft from motor vehicle,4,3,6,3,2,4,9,8,5,8,7,5,2,2,8,16,2,2,7,,4,11
DOVER GARDENS,5048,THEFT AND RELATED OFFENCES,Theft from shop,,,1,,,,,,,,,,,,,,,,,,,
DOVER GARDENS,5048,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,3,1,,3,2,1,,2,2,1,3,2,1,1,1,1,1,1,2,2,,2
DOWLINGVILLE,5555,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,1,1,,,,
DRY CREEK,5094,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,1,,,,,,,,,,,,,,,,,
DRY CREEK,5094,ACTS INTENDED TO CAUSE INJURY,Common Assault,2,,3,,,2,1,2,,,4,,,2,1,,,1,1,2,,4
DRY CREEK,5094,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,1,,,,,,,,,,,,1,,,,,,,,
DRY CREEK,5094,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,,1,3,1,1,,1,1,1,2,2,,,1,,,2,,,2,
DRY CREEK,5094,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,1,,,1,2,,,2,1,,,,1,,,,,,,2
DRY CREEK,5094,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,,,,,,,2,,,,,,,,
DRY CREEK,5094,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,1,1,,,,1,1,,,,,,,,,,,,,,1
DRY CREEK,5094,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,,,,,1,,,,1,1,,,,,
DRY CREEK,5094,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1,,,1,,,,,,,,,1,1,1,,,,,,,1
DRY CREEK,5094,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,28,15,19,17,8,17,18,28,20,13,24,20,34,28,21,10,12,12,12,23,12,16
DRY CREEK,5094,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3,5,4,5,4,4,1,5,1,3,2,5,2,2,2,1,1,,3,1,4,3
DRY CREEK,5094,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,2,1,,1,2,,1,,,2,2,1,1,,2,,2,3,,1,,1
DRY CREEK,5094,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,1,,,,1,2,,,,,,,,,,,,,,
DRY CREEK,5094,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,6,,,2,1,1,5,3,1,2,1,2,3,1,3,1,2,,3,1,1
DRY CREEK,5094,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,,,,,,,1,,,,,
DRY CREEK,5094,THEFT AND RELATED OFFENCES,Other theft,2,8,26,18,17,13,16,15,20,14,15,21,22,31,19,17,16,23,28,29,25,40
DRY CREEK,5094,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1,,,,,,,,,,,,,1,1,,1,,,1,,
DRY CREEK,5094,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1,2,2,2,2,1,2,2,1,3,,1,1,1,1,,1,2,2,2,4,6
DRY CREEK,5094,THEFT AND RELATED OFFENCES,Theft from shop,,,1,1,1,,,,,1,,4,8,3,2,,3,4,3,1,2,2
DRY CREEK,5094,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,2,,1,1,1,1,,1,1,1,3,1,,,3,1,1,1,
DUBLIN,5501,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,,,,,,,,,,,,,,,,,1,
DUBLIN,5501,ACTS INTENDED TO CAUSE INJURY,Common Assault,,1,2,,,,,1,,1,,,,,,,,3,,,,
DUBLIN,5501,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,,,,,,1,,,,,,,,,,,
DUBLIN,5501,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,5,4,,1,,,,,1,,,,,1,,1,,,1,,
DUBLIN,5501,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,,,,,,,,1,,,,,1,,
DUBLIN,5501,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",1,,2,,,,,,,,,,,,,,,,,,,
DUBLIN,5501,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1,,1,2,,,,,,1,,1,1,,,,1,,,,,
DUBLIN,5501,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1,,,1,,1,,,,,,,,,,,,,,1,,
DUBLIN,5501,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,2,1,1,1,,1,,,1,,,,,,1,1,1,,1,3,
DUBLIN,5501,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,2,,1,1,,,,,,,,,1,,,1,,,1,
DUBLIN,5501,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,2,2,,,,1,,,1,,,,1,,1,2,6,,1,,,2
DUBLIN,5501,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,1,,,1,,,,,,,,,1,
DUBLIN,5501,THEFT AND RELATED OFFENCES,Other theft,,4,3,3,4,3,3,2,1,,1,1,1,2,2,1,5,1,2,1,,2
DUBLIN,5501,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,2,,,,,,,,,,,,,,,,,,,,,
DUBLIN,5501,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1,2,,,,,,,2,1,,,,,,,,1,,,1,1
DUBLIN,5501,THEFT AND RELATED OFFENCES,Theft from shop,,2,,1,,,,,,,,,,,,,,,,,,1
DUBLIN,5501,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,,,1,,1,,,,2,,,2,1,,,,,,1,
DUCK PONDS,5607,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,1,,,,,,,,,,,,,,,,,,,,
DUCK PONDS,5607,THEFT AND RELATED OFFENCES,Other theft,,1,,,,,,,,,,,,,,,,,,,,
DUDLEY EAST,5222,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,1,,,,,,,,,,,,,,,
DUDLEY EAST,5222,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,1,1,,,,,,,,,,,,,,
DUDLEY EAST,5222,THEFT AND RELATED OFFENCES,Other theft,,,1,,,,,,,,,,,,,1,,,1,,,
DUDLEY PARK,5008,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,,,,,2,,,,,,,,,,,,,
