Postcode,Suburb,City,State,Statecode,1 BR Flat,2 BR Flat,3 BR Flat,4 BR Flat,1 BR House,2 BR House,3 BR House,4 BR House,id
5012,Mansfield Park,Adelaide,South Australia,SA,,238.0,300.0,,,157.75,350.0,265.0,70
5012,Woodville Gardens,Adelaide,South Australia,SA,176.0,230.0,,,,72.0,312.0,,71
5014,Cheltenham,Adelaide,South Australia,SA,,101.0,,,,229.3,365.0,,72
5012,Woodville North,Adelaide,South Australia,SA,,270.0,,,,300.0,340.0,,73
5164,Christie Downs,Adelaide,South Australia,SA,232.5,255.0,242.0,,95.0,243.4,300.0,365.0,74
5013,Gillman,Adelaide,South Australia,SA,,,,,,,340.0,,75
5165,Christies Beach,Adelaide,South Australia,SA,222.5,247.5,350.0,370.0,220.0,285.0,320.0,392.5,76
5013,Ottoway,Adelaide,South Australia,SA,,250.0,,,,,320.0,450.0,77
5062,Clapham,Adelaide,South Australia,SA,,260.0,,,,320.0,395.0,,78
5013,Pennington,Adelaide,South Australia,SA,,255.0,,,244.175,296.0,315.0,350.0,79
5039,Clarence Gardens,Adelaide,South Australia,SA,,280.0,,,,350.0,365.0,400.0,80
5013,Rosewater,Adelaide,South Australia,SA,,245.0,,,370.0,305.0,350.0,370.0,81
5034,Clarence Park,Adelaide,South Australia,SA,250.0,290.0,390.0,,,400.0,505.0,500.0,82
5013,Rosewater East,Adelaide,South Australia,SA,,,,,,,,,83
5157,Clarendon,Adelaide,South Australia,SA,197.5,,,,185.0,,350.0,,84
5013,Wingfield,Adelaide,South Australia,SA,,,,,,280.0,,,85
5085,Clearview,Adelaide,South Australia,SA,195.0,265.0,320.0,,,300.0,350.0,420.0,86
5042,Clovelly Park,Adelaide,South Australia,SA,200.0,305.0,365.0,,,355.0,415.0,417.5,87
5069,College Park,Adelaide,South Australia,SA,,330.0,,,,385.0,,1350.0,88
5081,Collinswood,Adelaide,South Australia,SA,225.0,300.0,450.0,,,360.0,420.0,630.0,89
5014,Hendon,Adelaide,South Australia,SA,195.0,189.5,,,,,330.0,,90
5041,Colonel Light Gardens,Adelaide,South Australia,SA,,,,,,380.0,400.0,507.5,91
5014,Queenstown,Adelaide,South Australia,SA,180.0,245.0,,,,320.0,372.5,400.0,92
5051,Coromandel Valley,Adelaide,South Australia,SA,240.0,,,,,,375.0,507.5,93
5014,Royal Park,Adelaide,South Australia,SA,,335.0,420.0,,,340.0,370.0,,94
5033,Cowandilla,Adelaide,South Australia,SA,250.0,237.5,360.0,,,272.5,430.0,390.0,95
5051,Craigburn Farm,Adelaide,South Australia,SA,120.0,,,,,,542.5,670.0,96
5015,Ethelton,Adelaide,South Australia,SA,,295.0,,,,275.0,350.0,500.0,97
5114,Craigmore,Adelaide,South Australia,SA,,,,,165.0,,292.5,377.5,98
5015,Glanville,Adelaide,South Australia,SA,,,,,215.0,300.0,495.0,,99
5015,Port Adelaide,Adelaide,South Australia,SA,245.0,395.0,365.0,300.0,50.0,317.5,395.0,,100
5016,Largs Bay,Adelaide,South Australia,SA,212.5,280.0,,,,392.5,400.0,430.0,101
5041,Cumberland Park,Adelaide,South Australia,SA,,335.0,,,,375.0,450.0,,102
5016,Largs North,Adelaide,South Australia,SA,175.0,260.0,,,,330.0,380.0,420.0,103
5047,Darlington,Adelaide,South Australia,SA,160.0,355.0,,,,,370.0,640.0,104
5016,Peterhead,Adelaide,South Australia,SA,,300.0,307.5,,,367.5,395.0,,105
5113,Davoren Park,Adelaide,South Australia,SA,124.68,,280.0,,,225.0,245.0,315.0,106
5017,Osborne,Adelaide,South Australia,SA,200.0,240.0,,,,99.0,365.0,,107
5041,Daw Park,Adelaide,South Australia,SA,,300.0,315.0,,,395.0,392.5,,108
5017,Taperoo,Adelaide,South Australia,SA,,,,,,275.0,300.0,427.5,109
5075,Dernancourt,Adelaide,South Australia,SA,,345.0,330.0,,,,365.0,450.0,110
5018,North Haven,Adelaide,South Australia,SA,,325.0,325.0,,,325.0,420.0,420.0,111
5018,Outer Harbor,Adelaide,South Australia,SA,,,,,,,,,112
5110,Direk,Adelaide,South Australia,SA,,270.0,315.0,,,,315.0,350.0,113
5019,Exeter,Adelaide,South Australia,SA,,350.0,,,,292.5,435.0,350.0,114
5048,Dover Gardens,Adelaide,South Australia,SA,,149.7,400.0,,,375.0,400.0,450.0,115
5019,Semaphore,Adelaide,South Australia,SA,245.0,275.0,290.0,,145.0,340.0,457.5,580.0,116
5094,Dry Creek,Adelaide,South Australia,SA,,250.0,,,,,,,117
5019,Semaphore Park,Adelaide,South Australia,SA,,300.0,435.0,,275.0,370.0,395.0,,118
5019,Semaphore South,Adelaide,South Australia,SA,245.0,365.0,370.0,,,,450.0,,119
5065,Dulwich,Adelaide,South Australia,SA,290.0,310.0,295.0,,,,495.0,775.0,120
5020,West Lakes Shore,Adelaide,South Australia,SA,290.0,320.0,460.0,,,300.0,450.0,555.0,121
5063,Eastwood,Adelaide,South Australia,SA,400.0,350.0,,,,420.0,520.0,,122
5021,West Lakes,Adelaide,South Australia,SA,,335.0,512.5,420.0,,300.0,410.0,575.0,123
5050,Eden Hills,Adelaide,South Australia,SA,210.0,,,,,,327.5,400.0,124
5022,Grange,Adelaide,South Australia,SA,380.0,290.0,590.0,,,315.0,515.0,570.0,125
5039,Edwardstown,Adelaide,South Australia,SA,255.0,265.0,402.5,,190.0,300.0,367.5,370.0,126
5022,Henley Beach,Adelaide,South Australia,SA,220.0,292.5,770.0,710.0,220.0,390.0,505.0,787.5,127
5112,Elizabeth,Adelaide,South Australia,SA,185.0,220.0,285.0,,130.0,186.0,230.0,285.0,128
5022,Henley Beach South,Adelaide,South Australia,SA,230.0,285.0,,,,285.0,565.0,855.0,129
5113,Elizabeth Downs,Adelaide,South Australia,SA,165.0,260.0,,,165.0,210.0,245.0,300.0,130
5022,Kirkcaldy,Adelaide,South Australia,SA,,,,,,,,,131
5112,Elizabeth East,Adelaide,South Australia,SA,,,229.75,,,,255.0,,132
5022,Tennyson,Adelaide,South Australia,SA,,300.0,,,,400.0,580.0,620.0,133
5112,Elizabeth Grove,Adelaide,South Australia,SA,,140.0,,,,230.0,245.0,,134
5023,Findon,Adelaide,South Australia,SA,,240.0,400.0,,,295.0,380.0,360.0,135
5113,Elizabeth North,Adelaide,South Australia,SA,165.0,220.0,,,,,240.0,250.0,136
5023,Seaton,Adelaide,South Australia,SA,222.5,270.0,360.0,,107.5,290.0,387.5,450.0,137
5113,Elizabeth Park,Adelaide,South Australia,SA,141.0,255.0,,,,,270.0,,138
5023,Seaton North,Adelaide,South Australia,SA,,,,,,,,,139
5112,Elizabeth South,Adelaide,South Australia,SA,,190.75,,,,200.0,230.0,360.0,140
5024,Fulham,Adelaide,South Australia,SA,195.0,292.5,280.0,,95.0,,400.0,480.0,141
5112,Elizabeth Vale,Adelaide,South Australia,SA,345.0,,,,,,247.5,320.0,142
5024,Fulham Gardens,Adelaide,South Australia,SA,,310.0,395.0,,185.0,295.0,440.0,582.5,143
5085,Enfield,Adelaide,South Australia,SA,217.5,285.0,255.0,,267.5,277.5,337.5,392.5,144
5024,West Beach,Adelaide,South Australia,SA,227.5,265.0,355.0,,,,420.0,560.0,145
5066,Erindale,Adelaide,South Australia,SA,,,,,,,750.0,520.0,146
5025,Flinders Park,Adelaide,South Australia,SA,,280.0,,,,,435.0,555.0,147
5025,Kidman Park,Adelaide,South Australia,SA,,312.5,330.0,,,,450.0,515.0,148
5069,Evandale,Adelaide,South Australia,SA,,305.0,375.0,,,335.0,410.0,497.5,149
5031,Mile End,Adelaide,South Australia,SA,230.0,305.0,400.0,,178.5,375.0,430.0,390.0,150
5035,Everard Park,Adelaide,South Australia,SA,315.0,275.0,355.0,,,,480.0,,151
5031,Mile End South,Adelaide,South Australia,SA,,,,,,,,,152
5031,Thebarton,Adelaide,South Australia,SA,188.0,270.0,,,,345.0,400.0,550.0,153
5126,Fairview Park,Adelaide,South Australia,SA,180.0,,,,,,350.0,435.0,154
5031,Torrensville,Adelaide,South Australia,SA,235.0,265.0,397.5,,300.0,375.0,395.0,347.5,155
5070,Felixstow,Adelaide,South Australia,SA,,265.0,367.5,,,86.3,400.0,,156
5031,Torrensville Plaza,Adelaide,South Australia,SA,,,,,,,,,157
5032,Lockleys,Adelaide,South Australia,SA,225.0,275.0,380.0,,,320.0,410.0,480.0,158
5070,Firle,Adelaide,South Australia,SA,,280.0,370.0,,,,412.5,,159
5032,Underdale,Adelaide,South Australia,SA,197.5,277.5,325.0,,,335.0,470.0,550.0,160
5082,Fitzroy,Adelaide,South Australia,SA,285.0,340.0,275.0,,,,475.0,362.5,161
5159,Flagstaff Hill,Adelaide,South Australia,SA,,315.0,,,260.0,340.0,365.0,482.5,162
5033,Hilton Plaza,Adelaide,South Australia,SA,,,,,,,,,163
5033,Marleston,Adelaide,South Australia,SA,,277.5,450.0,,,342.5,460.0,,164
5035,Forestville,Adelaide,South Australia,SA,,300.0,320.0,,312.5,385.0,445.0,405.0,165
5033,Richmond,Adelaide,South Australia,SA,203.0,260.0,,,,340.0,377.5,80.5,166
5063,Frewville,Adelaide,South Australia,SA,,300.0,367.5,,,,490.0,767.5,167
5033,West Richmond,Adelaide,South Australia,SA,,257.5,,,,280.0,355.0,850.0,168
5034,Goodwood,Adelaide,South Australia,SA,205.0,290.0,,,,430.0,515.0,835.0,169
5063,Fullarton,Adelaide,South Australia,SA,204.5,312.5,800.0,,,412.5,560.0,680.0,170
5034,Kings Park,Adelaide,South Australia,SA,,350.0,,,,,450.0,,171
5094,Gepps Cross,Adelaide,South Australia,SA,180.0,,,,,,330.0,,172
5034,Millswood,Adelaide,South Australia,SA,,,,,,432.5,470.0,900.0,173
5081,Gilberton,Adelaide,South Australia,SA,347.5,347.5,487.5,,,450.0,465.0,,174
5034,Wayville,Adelaide,South Australia,SA,280.0,322.5,450.0,,,360.0,405.0,,175
5086,Gilles Plains,Adelaide,South Australia,SA,185.0,230.0,350.0,,,390.0,362.5,395.0,176
5037,Glandore,Adelaide,South Australia,SA,217.5,300.0,,,203.1,,365.0,550.0,177
5064,Glen Osmond,Adelaide,South Australia,SA,,275.0,,,,290.0,590.0,690.0,178
5035,Keswick,Adelaide,South Australia,SA,,267.5,,,,430.0,392.5,,179
5052,Glenalta,Adelaide,South Australia,SA,275.0,310.0,,,,,485.0,480.0,180
5035,Keswick Terminal,Adelaide,South Australia,SA,,,,,,,,,181
5045,Glenelg,Adelaide,South Australia,SA,260.0,320.0,400.0,575.0,230.0,330.0,465.0,650.0,182
5045,Glenelg East,Adelaide,South Australia,SA,240.0,295.0,355.0,,,410.0,465.0,650.0,183
