,Unnamed: 0_level_0,Quarter,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4
,district,suburb,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences
23,,Scullin,0,4,1,1,2,1,16,0,0,0,13,6,7,0,7,7,0,5,1,21,1,0,1,20,15,13,0,2,1,0,2,0,10,0,0,0,22,5,6,0,0,0,0,1,1,6,0,0,0,21,14,11
24,,Spence,0,7,0,0,11,6,14,1,0,1,18,3,16,0,0,0,0,11,1,6,0,0,1,9,1,6,0,2,0,0,1,2,11,0,0,1,15,6,14,0,1,0,0,4,0,7,0,0,3,14,8,14
25,,Weetangera,0,0,0,0,2,1,7,0,0,1,20,3,4,0,2,0,0,0,1,9,0,0,0,20,1,4,0,0,0,1,4,0,9,0,0,1,10,6,6,0,0,0,0,1,0,4,0,0,0,15,3,5
26,Gungahlin,,0,54,6,3,89,21,250,4,0,12,389,137,304,0,39,9,1,54,16,201,1,0,13,545,116,204,0,52,21,0,77,11,234,2,0,18,406,134,177,0,44,11,3,64,9,247,1,0,15,410,137,235
27,,Amaroo,0,2,0,0,4,2,9,0,0,0,4,10,2,0,2,0,0,5,1,10,0,0,1,9,13,6,0,3,2,0,13,0,24,0,0,0,6,17,12,0,1,0,0,6,1,13,0,0,0,15,8,11
28,,Bonner,0,0,0,0,9,0,14,0,0,0,4,4,3,0,2,0,0,12,1,21,0,0,0,0,7,0,0,2,1,0,7,1,17,0,0,0,3,4,6,0,3,0,0,5,1,8,0,0,0,4,6,3
29,,Casey ,0,1,0,0,5,0,9,0,0,0,3,7,1,0,2,0,0,2,0,7,0,0,0,13,1,6,0,1,0,0,3,2,11,0,0,0,1,6,10,0,1,0,0,9,0,16,0,0,0,12,6,1
30,,Crace,0,2,0,0,8,0,12,0,0,1,10,5,3,0,0,1,0,1,0,5,0,0,1,11,2,9,0,0,0,0,17,1,19,0,0,2,6,9,6,0,2,0,0,5,0,16,0,0,0,6,6,13
31,,Forde,0,2,0,1,3,0,7,0,0,0,4,6,8,0,3,0,0,3,1,6,0,0,0,8,11,3,0,9,0,0,6,0,15,0,0,2,8,10,7,0,1,0,1,1,0,11,0,0,0,14,4,8
32,,Franklin,0,3,0,0,8,3,14,0,0,0,51,4,6,0,3,0,1,11,2,14,0,0,0,113,8,9,0,1,0,0,7,1,14,0,0,0,85,5,6,0,2,0,0,4,0,15,0,0,1,90,10,17
33,,Gungahlin,0,15,3,2,11,6,74,1,0,4,81,33,174,0,10,5,0,4,2,60,0,0,4,93,20,75,0,9,6,0,4,1,62,1,0,4,86,29,41,0,14,3,1,6,1,76,1,0,4,79,21,85
34,,Hall,0,0,0,0,0,0,2,0,0,2,16,1,3,0,1,0,0,1,0,2,0,0,0,13,2,6,0,0,0,0,0,1,0,0,0,1,3,2,3,0,0,0,0,0,0,1,0,0,1,8,1,8
35,,Harrison,0,3,1,0,4,1,8,1,0,0,27,2,9,0,3,0,0,3,4,10,0,0,0,30,9,7,0,1,1,0,4,0,5,0,0,2,43,6,23,0,0,0,0,5,0,11,0,0,2,47,7,22
36,,Jacka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
