,,,,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count
period,,,,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
suburb,postcode,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,
ADDRESS UNKNOWN,nan,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,1.0,,,,1.0,,,,,1.0,2.0,1.0,3.0,1.0,,,1.0,1.0,,
ADDRESS UNKNOWN,nan,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,,,,,,,,,,,,,,,1.0,
ADDRESS UNKNOWN,nan,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1.0,1.0,,3.0,,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,,1.0,3.0
ADDRESS UNKNOWN,nan,HOMICIDE AND RELATED OFFENCES,Murder,,,,,,1.0,,,,,,,,,,,,,,,,
ADDRESS UNKNOWN,nan,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,,,,,,,,,,,,,,,,,,,1.0,,,
ADDRESS UNKNOWN,nan,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,
ADDRESS UNKNOWN,nan,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,,,,,,,,,1.0,,,,,1.0
ADDRESS UNKNOWN,nan,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0
ADDRESS UNKNOWN,nan,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,1.0,,,1.0,3.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0
ADDRESS UNKNOWN,nan,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,,,,,,,1.0,,,,,,,,,,,,,,,
ADDRESS UNKNOWN,nan,THEFT AND RELATED OFFENCES,Other theft,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,,2.0,2.0,1.0,,3.0,1.0,2.0,4.0
ADDRESS UNKNOWN,nan,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,1.0,,,,,,,,,,,,,,
ADDRESS UNKNOWN,nan,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,1.0,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,1.0,
ADDRESS UNKNOWN,nan,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,,,1.0,,,,,,
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Assault Police,25.0,29.0,60.0,32.0,26.0,30.0,24.0,21.0,25.0,23.0,32.0,27.0,20.0,40.0,29.0,33.0,24.0,36.0,55.0,23.0,21.0,29.0
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Common Assault,205.0,185.0,232.0,216.0,196.0,161.0,203.0,171.0,191.0,220.0,211.0,175.0,169.0,175.0,213.0,179.0,225.0,199.0,208.0,193.0,167.0,199.0
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,6.0,9.0,6.0,13.0,10.0,3.0,8.0,4.0,5.0,9.0,5.0,8.0,9.0,9.0,14.0,6.0,5.0,7.0,3.0,3.0,8.0,7.0
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,91.0,90.0,99.0,76.0,89.0,106.0,108.0,96.0,106.0,89.0,91.0,81.0,96.0,95.0,103.0,88.0,95.0,106.0,103.0,98.0,84.0,103.0
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,16.0,16.0,15.0,10.0,10.0,11.0,12.0,11.0,12.0,11.0,10.0,7.0,10.0,11.0,6.0,3.0,11.0,9.0,18.0,6.0,12.0,10.0
ADELAIDE,5000,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,44.0,63.0,50.0,84.0,48.0,68.0,50.0,80.0,74.0,53.0,71.0,71.0,67.0,53.0,52.0,45.0,90.0,56.0,53.0,46.0,53.0,71.0
ADELAIDE,5000,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",11.0,5.0,9.0,7.0,15.0,9.0,15.0,8.0,19.0,9.0,6.0,18.0,5.0,14.0,15.0,13.0,13.0,9.0,16.0,11.0,20.0,16.0
ADELAIDE,5000,HOMICIDE AND RELATED OFFENCES,Murder,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,
ADELAIDE,5000,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,2.0,,1.0,1.0
ADELAIDE,5000,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",13.0,15.0,16.0,10.0,18.0,10.0,9.0,15.0,24.0,17.0,20.0,14.0,23.0,16.0,14.0,21.0,13.0,11.0,14.0,18.0,12.0,14.0
ADELAIDE,5000,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,2.0,5.0,2.0,4.0,4.0,,2.0,3.0,2.0,8.0,5.0,6.0,,1.0,2.0,,5.0,4.0,3.0,4.0,1.0
ADELAIDE,5000,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,14.0,23.0,18.0,12.0,14.0,18.0,12.0,23.0,33.0,19.0,31.0,15.0,12.0,9.0,19.0,11.0,9.0,19.0,17.0,15.0,19.0,8.0
ADELAIDE,5000,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,22.0,34.0,31.0,38.0,41.0,21.0,24.0,26.0,25.0,32.0,32.0,29.0,31.0,19.0,27.0,17.0,31.0,25.0,23.0,23.0,26.0,18.0
ADELAIDE,5000,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,209.0,208.0,195.0,176.0,175.0,196.0,184.0,149.0,166.0,153.0,148.0,159.0,153.0,143.0,144.0,164.0,165.0,174.0,176.0,181.0,151.0,193.0
ADELAIDE,5000,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,11.0,13.0,12.0,7.0,3.0,16.0,10.0,3.0,10.0,5.0,5.0,2.0,5.0,4.0,3.0,4.0,5.0,13.0,8.0,3.0,5.0,5.0
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Aggravated robbery,14.0,20.0,17.0,13.0,5.0,17.0,11.0,16.0,9.0,11.0,11.0,8.0,7.0,9.0,9.0,13.0,9.0,13.0,9.0,8.0,5.0,6.0
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,2.0,2.0,1.0,,2.0,1.0,,,1.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,,,,2.0,1.0,
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,5.0,3.0,7.0,6.0,6.0,5.0,11.0,8.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,6.0,1.0,6.0,6.0,4.0,2.0,4.0
ADELAIDE,5000,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,58.0,52.0,35.0,36.0,30.0,31.0,36.0,34.0,24.0,25.0,53.0,17.0,41.0,31.0,47.0,47.0,38.0,38.0,40.0,36.0,37.0,35.0
ADELAIDE,5000,SERIOUS CRIMINAL TRESPASS,SCT - Residence,13.0,22.0,13.0,19.0,10.0,9.0,13.0,10.0,32.0,13.0,20.0,17.0,16.0,15.0,18.0,22.0,14.0,20.0,25.0,21.0,17.0,19.0
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Other theft,348.0,432.0,416.0,349.0,341.0,315.0,316.0,363.0,342.0,322.0,328.0,309.0,347.0,383.0,411.0,389.0,301.0,376.0,396.0,412.0,350.0,354.0
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,52.0,55.0,49.0,63.0,59.0,58.0,44.0,48.0,47.0,46.0,50.0,58.0,52.0,57.0,62.0,46.0,56.0,60.0,46.0,49.0,52.0,62.0
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft from motor vehicle,48.0,64.0,64.0,54.0,52.0,58.0,62.0,60.0,67.0,60.0,49.0,47.0,45.0,51.0,61.0,69.0,62.0,51.0,53.0,60.0,40.0,64.0
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft from shop,243.0,186.0,184.0,169.0,216.0,181.0,163.0,180.0,164.0,166.0,173.0,194.0,201.0,183.0,212.0,270.0,165.0,242.0,234.0,259.0,247.0,207.0
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,32.0,29.0,18.0,20.0,19.0,12.0,20.0,23.0,20.0,20.0,17.0,20.0,22.0,5.0,17.0,24.0,32.0,27.0,15.0,21.0,22.0,19.0
ADELAIDE,5001,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,1.0,,,1.0,,,,,,,,,,,,,,,
ADELAIDE,5001,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,1.0,,,,,,,,,,,,,,,
