id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
204,St Edward's School,Tilga Street,Canowindra,2804,Catholic,Primary,-33.565652,148.664657
205,St Felix's Catholic Primary School,552 Chapel Road,Bankstown,2200,Catholic,Primary,-33.907133,151.03543200000001
206,St Fiacre's Catholic Primary School,98 Catherine Street,Leichhardt,2040,Catholic,Primary,-33.884797999999996,151.162197
207,St Finbarr's Primary School,1 Arakwal Court,Byron Bay,2481,Catholic,Primary,-28.6656,153.6158
208,St Finbar's Primary School,Broughton St,Sans Souci,2219,Catholic,Primary,-33.992474,151.129188
209,St Finbar's Primary School,Levy Street,Glenbrook,2773,Catholic,Primary,-33.761142,150.61756
210,St Francis de Sales Regional College,Yanco Avenue,Leeton,2705,Catholic,Secondary,-34.567877,146.41053
211,St Francis De Sales' Catholic Primary School,14 Hill Street,Woolooware,2230,Catholic,Primary,-34.052366,151.14213600000002
212,St Francis of Assisi Catholic Primary School,95 Flagstaff Road,Warrawong,2502,Catholic,Primary,-34.479703,150.879865
213,St Francis of Assisi Regional Catholic Primary School,64 Gordon St,Paddington,2021,Catholic,Primary,-33.888487,151.23135200000002
214,St Francis Xavier's College,286 Parkway Avenue,Hamilton,2303,Catholic,Secondary,-32.927166,151.753714
215,St Francis Xavier Catholic School Ashbury,40-44 Forbes St,Croydon Park,2133,Catholic,Primary,-33.896955,151.114352
216,St Francis Xavier's Catholic Primary School,Forest Road,Arncliffe,2205,Catholic,Primary,-33.939599,151.14726299999998
217,St Francis Xavier's Primary School,38-50 Swift Street,Ballina,2478,Catholic,Primary,-28.868353000000003,153.564096
218,St Francis Xavier Primary School,Conapaira Street,Lake Cargelligo,2672,Catholic,Primary,-33.29647,146.3688
219,St Francis Xavier Primary School,End Street,Urana,2645,Catholic,Primary,-35.334685,146.26408
220,St Gabriel's Catholic School,50-52 Abercorn Street,Bexley,2207,Catholic,Primary,-33.947877000000005,151.12174
221,St Gerard's Catholic Primary School,543 North Rocks Rd,Carlingford,2118,Catholic,Primary,-33.765875,151.050937
222,St Gertrude's Catholic Primary School,1-11 Justin Street,Smithfield,2164,Catholic,Primary,-33.854662,150.93816999999999
223,St Gregory's College Campbelltown,100 Badgally Road,Gregory Hills,2557,Independent,Secondary,-34.04102,150.78849499999998
224,St Ignatius' College,Tambourine Bay Road,Lane Cove,2066,Independent,Combined,-33.819533,151.165517
225,St Ignatius' Primary School,3 Meek Street,Bourke,2840,Catholic,Primary,-30.088163,145.931546
226,St James Catholic Primary School,2 Woolley St,Glebe,2037,Catholic,Primary,-33.879546999999995,151.18509
227,St James Primary School,Vista Parade,Kotara South,2289,Catholic,Primary,-32.948315,151.69988500000002
228,St James Primary School,Skellatar Stock Route,Muswellbrook,2333,Catholic,Primary,-32.28022,150.883778
229,St Jerome's Catholic Primary School,Rossmore Ave,Punchbowl,2196,Catholic,Primary,-33.927378000000004,151.054852
230,St Joachim's Catholic Primary School,7 Mary Street,Lidcombe,2141,Catholic,Primary,-33.862936,151.04611699999998
231,St Joan Of Arc Catholic Primary School,88 Dalhousie St,Haberfield,2045,Catholic,Primary,-33.879352000000004,151.139551
232,St John Bosco Catholic Primary School,Banksia Avenue,Engadine,2233,Catholic,Primary,-34.065931,151.008349
233,St John's Primary School,138 Sheraton Road,Dubbo,2830,Catholic,Primary,-32.252065,148.60355900000002
234,St John's College,162 Sheraton Road,Dubbo,2830,Catholic,Secondary,-32.268003,148.645796
235,St John's Lutheran Primary School,154 Adams Street,Jindera,2642,Independent,Primary,-35.95709,146.881683
236,St John's Catholic Primary School,77 Queen Street,Auburn,2144,Catholic,Primary,-33.851348,151.03278600000002
237,St John the Evangelist Catholic Primary School,Lindesay Street,Campbelltown,2560,Catholic,Primary,-34.069508,150.817454
