id,school_name,school_address,suburb,postcode,school_lat,school_lon,Category,Subtype,school_type,sector
6015,St Michael's College: Jnr School,78 East Avenue,Beverley,5009,-34.899607,138.550988,SCHL,PSS,Primary/Secondary Schools,NONDEPT
6016,Beafield EC:Brahma Lodge Campus,20 Mortess Street,Brahma Lodge,5109,-34.775528,138.650326,NONS,BSSER,Behaviour Support Services,DEPT
6017,Beafield EC:Silkes Road Campus,100 George Street,Paradise,5075,-34.870802,138.68457,NONS,BSSER,Behaviour Support Services,DEPT
6026,Christian Brothers College - Junior,324 Wakefield Street,Adelaide,5000,-34.927677,138.613528,SCHL,PS,Primary Schools,NONDEPT
6028,Saint Ignatius' College:Junior Sch,62 Queen Street,Norwood,5067,-34.923096,138.639948,SCHL,PS,Primary Schools,NONDEPT
6030,St Joseph's Mem Sch: Early Years,46 Bridge Street,Kensington,5068,-34.924145,138.646016,SCHL,PS,Primary Schools,NONDEPT
6032,Coromandel Valley PS OSHC/Vac,339 Main Road,Coromandel Valley,5051,-35.033562,138.626758,CARE,OSHC,Out of School Hours Care,DEPT
6034,Carol Murray Children's Centre CC,1 Dinning Terrace,Bordertown,5268,-36.310996,140.765457,CARE,COMCC,Community Managed CCCs,NONDEPT
6036,Goodstart EL Plympton,337 Anzac Highway,Plympton,5038,-34.966896,138.549455,CARE,PRVCC,Private CCCs,NONDEPT
6039,Goodstart EL Blakeview,66-72 Park Lake Boulevard,Blakeview,5114,-34.688417,138.697955,CARE,PRVCC,Private CCCs,NONDEPT
6044,Clare Learning Together @ Home,Inchiquin Road,Clare,5453,-33.838952,138.616299,CARE,TOY,Learning Together @ Home,DEPT
6050,Cowandilla PS OSHC/Vac,21 Jenkins Street,Cowandilla,5033,-34.933968,138.560378,CARE,OSHC,Out of School Hours Care,DEPT
6052,East Adelaide OSHC/Vac,59 Third Avenue,St Peters,5069,-34.90485,138.627299,CARE,OSHC,Out of School Hours Care,DEPT
6053,Echunga Primary School OSHC/Vac,802 Echunga Road,Echunga,5153,-35.097706,138.79085,CARE,OSHC,Out of School Hours Care,DEPT
6054,Eden Hills Primary School OSHC/Vac,78 Wilpena Street,Eden Hills,5050,-35.020546,138.595317,CARE,OSHC,Out of School Hours Care,DEPT
6055,Edwardstown Primary School OSHC/Vac,Maria Street,Melrose Park,5039,-34.978729,138.57801,CARE,OSHC,Out of School Hours Care,DEPT
6057,Norwood PS OSHC/Vac,96 Beulah Road,Norwood,5067,-34.918643,138.631114,CARE,OSHC,Out of School Hours Care,DEPT
6058,Flinders Park PS OSHC/Vac,70 Holbrooks Road,Flinders Park,5025,-34.911103,138.54754,CARE,OSHC,Out of School Hours Care,DEPT
6060,Glenelg Primary School OSHC/Vac,Diagonal Road,Glenelg East,5045,-34.98515,138.52158,CARE,OSHC,Out of School Hours Care,DEPT
6061,Glen Osmond Primary School OSHC,5 Fisher Street,Myrtle Bank,5064,-34.957051,138.637255,CARE,OSHC,Out of School Hours Care,DEPT
6062,Goodwood Primary School OSHC/Vac,140 Goodwood Road,Goodwood,5034,-34.951434,138.588694,CARE,OSHC,Out of School Hours Care,DEPT
6063,Goolwa PS OSHC Camp Australia,Gardiner Street,Goolwa,5214,-35.497553,138.780252,CARE,OSHC,Out of School Hours Care,DEPT
6064,Grange Primary School OSHC/Vac,39C Jetty Street,Grange,5022,-34.903696,138.49717,CARE,OSHC,Out of School Hours Care,DEPT
6065,Gumeracha Primary School OSHC/Vac,Albert Street,Gumeracha,5233,-34.824981,138.880956,CARE,OSHC,Out of School Hours Care,DEPT
6066,Hahndorf Primary School OSHC/Vac,12 Church Street,Hahndorf,5245,-35.027625,138.810629,CARE,OSHC,Out of School Hours Care,DEPT
6067,Rose Pk PS OSHC/Vac Camp Australia,54 Alexandra Avenue,Rose Park,5067,-34.93161,138.628893,CARE,OSHC,Out of School Hours Care,DEPT
6068,Happy Valley Primary School OSHC/Vac,18 Education Road,Happy Valley,5159,-35.087062,138.583603,CARE,OSHC,Out of School Hours Care,DEPT
6069,Highgate Primary School OSHC/Vac,27 Avenue Road,Highgate,5063,-34.963689,138.623434,CARE,OSHC,Out of School Hours Care,DEPT
6070,North Adelaide PS OSHC/Vac,62-80 Tynte Street,North Adelaide,5006,-34.905096,138.597558,CARE,OSHC,Out of School Hours Care,DEPT
6071,Kangarilla/Clarendon OSHC-Kangarilla,33-35 McLaren Flat Road,Kangarilla,5157,-35.147815,138.659484,CARE,OSHC,Out of School Hours Care,DEPT
6072,Alberton Primary School OSHC/Vac,14 Broad Street,Queenstown,5014,-34.862675,138.51264,CARE,OSHC,Out of School Hours Care,DEPT
6073,Largs Bay Primary School OSHC/Vac,215 Fletcher Road,Largs Bay,5016,-34.823557,138.49427,CARE,OSHC,Out of School Hours Care,DEPT
6074,Le Fevre Peninsula PS OSHC,Shorney Street,Birkenhead,5015,-34.840072,138.495412,CARE,OSHC,Out of School Hours Care,DEPT
6075,Aldinga Beach OSHCers/Vac,Quinliven Road,Aldinga,5173,-35.268942,138.461849,CARE,OSHC,Out of School Hours Care,DEPT
6076,Lockleys PS OSHC,3 May Terrace,Brooklyn Park,5032,-34.9275327,138.534546,CARE,OSHC,Out of School Hours Care,DEPT
