id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
1160,Beckom Public School,Welman St,Beckom ,2665,Goverment,Primary School,-34.327211,146.962928
1164,Bedgerebong Public School,North Condobolin Rd,Bedgerebong ,2871,Goverment,Primary School,-33.361353,147.679318
1165,Beechwood Public School,614 Beechwood Road,Wauchope ,2446,Goverment,Primary School,-31.435534999999998,152.68094
1166,Beecroft Public School,98 Beecroft Rd,Beecroft ,2119,Goverment,Primary School,-33.752085,151.06462
1167,Beelbangera Public School,Rankins Springs Rd,Beelbangera ,2680,Goverment,Primary School,-34.252836,146.101067
1168,Bega Valley Public School,27 Auckland St,Bega ,2550,Goverment,Primary School,-36.670545000000004,149.839095
1175,Bellata Public School,Gurley St,Bellata ,2397,Goverment,Primary School,-29.918659,149.796216
1177,Bellbird Public School,Doyle St,Bellbird ,2325,Goverment,Primary School,-32.859421000000005,151.316705
1178,Bellbrook Public School,Main St,Bellbrook,2440,Goverment,Primary School,-30.819094,152.508698
1179,Bellevue Hill Public School,Victoria Rd,Bellevue Hill ,2023,Goverment,Primary School,-33.886986,151.25978500000002
1181,Bellingen Public School,William St,Bellingen ,2454,Goverment,Primary School,-30.453490000000002,152.891887
1182,Belltrees Public School,Moonan Flat Rd,Belltrees ,2337,Goverment,Primary School,-31.988753000000003,151.129487
1183,Belmont Public School,Livingstone St,Belmont ,2280,Goverment,Primary School,-33.030134000000004,151.662203
1185,Belmore North Public School,Burwood Rd,Belmore ,2192,Goverment,Primary School,-33.909884999999996,151.084885
1186,Belmore South Public School,Nelson Ave & Canterbury Rd,Belmore ,2192,Goverment,Primary School,-33.925734999999996,151.09198500000002
1189,Bemboka Public School,Kameruka St,Bemboka ,2550,Goverment,Primary School,-36.631309,149.571075
1191,Bendemeer Public School,Charles St,Bendemeer ,2355,Goverment,Primary School,-30.886984,151.150991
1196,Ben Lomond Public School,Inn Rd,Ben Lomond ,2365,Goverment,Primary School,-30.017024,151.66128700000002
1198,Ben Venue Public School,Erskine St,Armidale ,2350,Goverment,Primary School,-30.502884,151.67462
1199,Berala Public School,Harrow Rd,Berala,2141,Goverment,Primary School,-33.869714,151.028244
1201,Beresfield Public School,181-183 Anderson Dr (Cnr Lawson Ave),Beresfield,2322,Goverment,Primary School,-32.803964,151.65486299999998
1202,Berkeley Public School,George St,Berkeley ,2506,Goverment,Primary School,-34.480214000000004,150.856493
1203,Berkeley Vale Public School,Pindarri Ave,Berkeley Vale ,2259,Goverment,Primary School,-33.350515,151.43588799999998
1204,Bermagui Public School,George St,Bermagui ,2546,Goverment,Primary School,-36.420776000000004,150.063625
1205,Berowra Public School,Hillcrest Rd,Berowra ,2081,Goverment,Primary School,-33.618522,151.14899599999998
1206,Berridale Public School,Oliver St,Berridale ,2628,Goverment,Primary School,-36.371444,148.827209
1207,Berrigan Public School,25-29 Momalong St,Berrigan ,2712,Goverment,Primary School,-35.659667,145.815664
1209,Berrima Public School,Oxley St,Berrima ,2577,Goverment,Primary School,-34.485882000000004,150.340775
1211,Berry Public School,Victoria St,Berry ,2535,Goverment,Primary School,-34.778317,150.689706
1215,Beverly Hills Public School,Stoney Creek & King Georges Rds,Beverly Hills ,2209,Goverment,Primary School,-33.953449,151.08520900000002
1217,Bexhill Public School,12 Withers St,Bexhill,2480,Goverment,Primary School,-28.766026,153.34583500000002
1223,Bigga Public School,Blackman St,Bigga ,2583,Goverment,Primary School,-34.0847,149.144602
1224,Bilambil Public School,Bilambil Rd,Bilambil ,2486,Goverment,Primary School,-28.223741999999998,153.468431
1227,Ocean Shores Public School,166 Shara Boulevarde,Ocean Shores,2483,Goverment,Primary School,-28.491203000000002,153.54033700000002
1228,Bilpin Public School,Bells Line of Road,Bilpin ,2758,Goverment,Primary School,-33.497331,150.516765
1230,Binalong Public School,Dickinson Street,Binalong,2584,Goverment,Primary School,-34.670108,148.625718
1231,Binda Public School,Queen St,Binda ,2583,Goverment,Primary School,-34.331463,149.368114
1234,Bingara Central School,Finch St,Bingara ,2404,Goverment,Central/Community School,-29.866705,150.56725
1237,Binnaway Central School,David St,Binnaway,2395,Goverment,Central/Community School,-31.552792999999998,149.374951
1238,Binya Public School,16 Stephensons Rd,Binya,2665,Goverment,Primary School,-34.228678,146.353034
1240,Birchgrove Public School,Birchgrove Rd,Balmain ,2041,Goverment,Primary School,-33.853009,151.177045
1246,Blackheath Public School,Leichhardt St,Blackheath ,2785,Goverment,Primary School,-33.639284,150.285831
1247,Black Hill Public School,408 Black Hill Rd,Black Hill ,2322,Goverment,Primary School,-32.838522999999995,151.617131
1249,Black Mountain Public School,815 Black Mountain Rd,Black Mountain ,2365,Goverment,Primary School,-30.308489,151.65768799999998
1252,Blackville Public School,O'Neile St,Blackville ,2343,Goverment,Primary School,-31.64044,150.23748899999998
1254,Blakebrook Public School,Rosehill Rd,Blakebrook ,2480,Goverment,Primary School,-28.763426000000003,153.22999199999998
