id,school_name,school_address,suburb,postcode,school_type,school_lat,school_lon
64,Pearce Preschool -  Torrens Primary School,Pendred Street,Pearce,2607,Preschool,-35.3713461,149.0913845
65,Red Hill Preschool,Astrolabe Street,Red Hill,2603,Preschool,-35.3383964,149.1325205
66,Reid Preschool,Dirrawan Gardens,Reid,2612,Preschool,-35.2825765,149.1402365
67,Richardson Preschool,May Gibbs Close,Richardson,2905,Preschool,-35.42923469999999,149.1144437
68,Spence Preschool - Mt Rogers Primary School,Baddeley Crescent,Spence,2615,Preschool,-35.1995111,149.0655759
69,Southern Cross Early Childhood School,Wirraway Crescent,Scullin,2614,Preschool,-35.2325569,149.0384031
70,Taylor Preschool,Marconi Crescent,Kambah,2913,Preschool,-35.1518915,149.1135692
71,Tharwa Preschool - Charles Conder Primary School,Tharwa,ACT 2620,2906,Preschool,-35.4643995,149.0987421
72,Theodore Preschool,Lawrence Wackett Crescent,Theodore,2905,Preschool,-35.447438,149.1230453
73,Torrens Preschool,Parsons Street,Torrens,2607,Preschool,-35.3732525,149.0856114
74,Turner Preschool,Hartley Street,Turner,2612,Preschool,-35.2641826,149.1267797
75,Wanniassa Hills Preschool,Langdon Avenue,Wanniassa,2903,Preschool,-35.3929901,149.0954805
76,Wanniassa Preschool,Sternberg Crescent,Wanniassa,2903,Preschool,-35.3992365,149.085797
77,Waramanga Preschool - Arawang Primary School,Nemarang Crescent,Waramanga,2611,Preschool,-35.3544092,149.0593284
78,Watson Preschool - Majura Primary School,Knox Street,Watson,2602,Preschool,-35.23718590000001,149.1521392
79,Weetangera Preschool,Southwell Street,Weetangera,2614,Preschool,-35.2518232,149.0476675
80,Weston Preschool - Arawang Primary School,Minns Place,Weston,2611,Preschool,-35.3544092,149.0593284
81,Yarralumla Preschool Villa, Loftus Street,Yarralumla,2600,Preschool,-35.3100512,149.1055699
82,Yarralumla Montessori Villa School,Loftus Street,Yarralumla,2600,Preschool,-35.3068178,149.1021454
83,Amaroo School,Katherine Avenue,Amaroo,2914,Preschool to Year 10,-35.163986,149.129705
84,Caroline Chisholm School,Hambidge Crescent,Chisholm,2905,Preschool to Year 10,-35.418155,149.122047
85,Gold Creek School,Kelleway Street,Nicholls,2913,Preschool to Year 10,-35.181275,149.100262
86,Harrison School,Wimmera Street,Harrison,2914,Preschool to Year 10,-35.1975306,149.1516423
87,Kingsford Smith School,Cnr Hardwick Cres and Starke St,Holt,2615,Preschool to Year 10,-35.227532,149.021001
88,Namadgi School,O'Halloran Circuit,Kambah,2902,Preschool to Year 10,-35.393842,149.064431
89,Wanniassa School,Sternberg Crescent,Wanniassa,2903,Preschool to Year 10,-35.394992,149.086363
90,Canberra College,Launceston Street,Phillip,2606,Colleges Year 11-12,-35.340387,149.088676
91,Dickson College,Phillip Avenue,Dickson,2602,Colleges Year 11-12,-35.249,149.153
92,Erindale College,McBryde Crescent,Wanniassa,2903,Colleges Year 11-12,-35.403008,149.09717
93,Gungahlin College,Gozzard Street,Gungahlin,2912,Colleges Year 11-12,-35.185515,149.131357
94,Hawker College,Murranji Street,Hawker,2614,Colleges Year 11-12,-35.245207,149.033634
95,University of Canberra - Senior Secondary College Lake Ginninderra,Emu Bank,Belconnen,2617,Colleges Year 11-12,-35.238771,149.073894
96,Lake Tuggeranong College,Cowlishaw Street,Tuggeranong,2900,Colleges Year 11-12,-35.4132,149.067934
97,Melba Copland Secondary School - Copland Campus Years 11 - 12,Copland Drive,Melba,2615,Colleges Year 11-12,-35.212194,149.059163
98,Narrabundah College,Jerrabomberra Avenue,Narrabundah,2604,Colleges Year 11-12,-35.336028,149.147301
99,Ainslie School,Donaldson Street,Braddon,2612,Primary School,-35.273729,149.139632
100,Ainslie North Primary,Majura Avenue,Ainslie,2602,Primary School,-35.254797,149.145509
101,Amaroo School,Katherine Avenue,Amaroo,2914,Primary School,-35.163986,149.129705
102,Aranda Primary,Banambila Crescent,Aranda,2614,Primary School,-35.255999,149.079914
103,Arawang Primary,Nemarang Crescent,Waramanga,2611,Primary School,-35.355017,149.059719
104,Bonython Primary,Hurtle Avenue,Bonython,2905,Primary School,-35.431846,149.082604
105,Calwell Primary,Casey Crescent,Calwell,2905,Primary School,-35.438412,149.109254
106,Campbell Primary,Chauvel Street,Campbell,2612,Primary School,-35.290271,149.156099
107,Chapman Primary,Perry Drive,Chapman,2611,Primary School,-35.356878,149.043079
108,Charles Conder Primary,Tom Roberts Avenue,Conder,2906,Primary School,-35.464883,149.098449
109,Charles Weston School,Woodberry Avenue,Coombs,2611,Primary School,-35.322603,149.042848
110,Charnwood-Dunlop School,Bettington Circuit,Charnwood,2615,Primary School,-35.198682,149.036203
111,Caroline Chisholm Primary,Hambidge Crescent,Chisholm,2905,Primary School,-35.418155,149.122047
112,Curtin Primary,Theodore Street,Curtin,2605,Primary School,-35.331662,149.079926
113,Duffy Primary,Burrinjuck Crescent,Duffy,2611,Primary School,-35.334219,149.033656
114,Evatt Primary,Heydon Crescent,Evatt,2617,Primary School,-35.20707,149.075906
115,Fadden Primary,Hanlon Crescent,Fadden,2904,Primary School,-35.404286,149.118175
116,Farrer Primary,Lambrigg Street,Farrer,2607,Primary School,-35.378739,149.107114
117,Florey Primary,Ratcliffe Crescent,Florey,2615,Primary School,-35.226519,149.052092
118,Forrest Primary,National Circuit,Forrest,2603,Primary School,-35.315084,149.126171
119,Franklin Early Childhood School,Oodgeroo Avenue,Franklin,2913,Primary School,-35.200461,149.141327
120,Fraser Primary,Tillyard Drive,Fraser,2615,Primary School,-35.191795,149.043375
121,Garran Primary,Gilmore Crescent,Garran,2605,Primary School,-35.344681,149.103287
122,Gilmore Primary,Heagney Crescent,Gilmore,2905,Primary School,-35.419488,149.135582
123,Giralang Primary,Canopus Crescent,Giralang,2617,Primary School,-35.213717,149.094449
124,Gold Creek School,Kelleway Street,Nicholls,2913,Primary School,-35.181275,149.100262
125,Gordon Primary,Knoke Avenue,Gordon,2906,Primary School,-35.455517,149.086978
126,Gowrie Primary,Jeffries Street,Gowrie,2904,Primary School,-35.413608,149.110565
127,Harrison School,Nullabor Avenue,Harrison,2914,Primary School,-35.1975306,149.15164
128,Hawker Primary,Erldunda Cicuit,Hawker,2614,Primary School,-35.250284,149.034593
129,Hughes Primary,Kent Street,Hughes,2605,Primary School,-35.332248,149.093456
130,Isabella Plains Early Childhood School,Ellerston Avenue,Isabella Plains,2905,Primary School,-35.428716,149.089497
131,Jervis Bay Primary,Jervis Bay,ACT 2540,2540,Primary School,-35.135012,150.703614
132,Kaleen Primary,Ashburton Circuit,Kaleen,2617,Primary School,-35.224835,149.11404
133,Kingsford Smith School,Cnr Hardwick Cres and Starke St,Holt,2615,Primary School,-35.226971,149.023361
134,Latham Primary,O'Loghlen Street,Latham,2615,Primary School,-35.220157,149.034298
135,Lyneham Primary,Hall Street,Lyneham,2602,Primary School,-35.25148,149.124974
136,Lyons Early Childhood School,Tarraleah Crescent,Lyons,2606,Primary School,-35.341633,149.076243
137,Macgregor Primary,Hirschfeld Crescent,MacGregor,2615,Primary School,-35.213112,149.012349
138,Macquarie Primary,Bennelong Crescent,Macquarie,2614,Primary School,-35.250069,149.059393
139,Majura Primary,Knox Street,Watson,2602,Primary School,-35.238509,149.15501
140,Maribyrnong Primary,Alberga Street,Kaleen,2617,Primary School,-35.235115,149.102261
141,Mawson Primary,Ainsworth Street,Mawson,2607,Primary School,-35.358505,149.097655
142,Miles Franklin Primary,Alderman Street,Evatt,2617,Primary School,-35.213295,149.066961
143,Monash Primary,Corlette Crescent,Monash,2904,Primary School,-35.414879,149.089411
144,Mount Rogers Primary School,Alfred Hill Drive,Melba,2615,Primary School,-35.208737,149.055621
145,Namadgi School,O'Halloran Circuit,Kambah,2902,Primary School,-35.393842,149.064431
146,Narrabundah Early Childhood School,Kootara Crescent,Narrabundah,2604,Primary School,-35.329016,149.150698
147,Neville Bonner Primary School,Mabo Boulevard,Bonner,2914,Primary School,-35.161141,149.139812
148,Ngunnawal Primary,Unaipon Crescent,Ngunnawal,2913,Primary School,-35.169196,149.111784
