id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
5182,St Mary's School (Charleville),66 Watson Street,Charleville,4470,Catholic,Prep Year to Year 6,-26.403626000000003,146.243155
5129,St Mary's School (Laidley),John Street,Laidley,4341,Catholic,Prep Year to Year 6,-27.634196999999997,152.391663
5104,St Matthew's School (Cornubia),172-180 Bryants Road,Cornubia,4130,Catholic,Prep Year to Year 6,-27.667125,153.189147
5260,St Michael's Catholic School (Palm Island),Banfield Highway,Palm Island,4816,Catholic,Prep Year to Year 6,-18.736684,146.576924
5574,St Michael's College (Caboolture),1-63 The Abbey Place,Caboolture,4510,Independent,Prep Year to Year 6,-27.069478999999998,153.01740900000001
5378,St Michael's College (Merrimac),Jondique Avenue,Merrimac,4226,Catholic,Year 7 to Year 12,-28.044338,153.36506200000002
5281,St Michael's School (Gordonvale),58 Mill Street,Gordonvale,4865,Catholic,Prep Year to Year 6,-17.095512,145.78733200000002
5440,St Monica's College (Cairns),177 Abbott Street,Cairns,4870,Catholic,Year 7 to Year 12,-16.917451,145.773269
5181,St Monica's School (Oakey),75 Lorrimer Street,Oakey,4401,Catholic,Prep Year to Year 6,-27.440832,151.719339
5000,St Oliver Plunkett School (Cannon Hill),17 Beauvardia Street,Cannon Hill,4170,Catholic,Prep Year to Year 6,-27.469703999999997,153.0843
5218,St Patrick's Catholic Primary School (Bundaberg),35 Mulgrave Street,Bundaberg West,4670,Catholic,Prep Year to Year 6,-24.876837,152.340134
5216,St Patrick's Catholic Primary School (Emerald),41 Yamala Street,Emerald,4720,Catholic,Prep Year to Year 6,-23.52338,148.162174
5258,St Patrick's Catholic School (Winton),Oondooroo Street,Winton,4735,Catholic,Prep Year to Year 6,-22.385119,143.039995
5389,St Patrick's College (Gympie),Church Street,Gympie,4570,Catholic,Year 7 to Year 12,-26.192444000000002,152.667043
5343,St Patrick's College (Mackay),Gregory Street,Mackay,4740,Catholic,Year 11 to Year 12,-21.139277,149.184733
5308,St Patrick's College (Shorncliffe),60 Park Parade,Shorncliffe,4017,Catholic,Year 5 to Year 12,-27.323415,153.083404
5432,St Patrick's College Townsville (Townsville),45 The Strand,Townsville,4810,Catholic,Year 7 to Year 12,-19.252247,146.81726
5132,St Patrick's Primary School (Gympie),18-26 Church Street,Gympie,4570,Catholic,Prep Year to Year 6,-26.192355,152.665662
5185,St Patrick's Primary School (Mitchell),100 Alice Street,Mitchell,4465,Catholic,Prep Year to Year 6,-26.484137,147.973712
5133,St Patrick's Primary School (Nanango),16 Alfred Street,Nanango,4615,Catholic,Prep Year to Year 6,-26.672501,151.996996
5183,St Patrick's School (Allora),35 Arnold Street,Allora,4362,Catholic,Prep Year to Year 6,-28.035706,151.978026
5184,St Patrick's School (St George),36-44 Balonne Street,St George,4487,Catholic,Prep Year to Year 6,-28.03534,148.586575
5435,St Paul's Catholic Primary School (Gracemere),Breakspear Street,Gracemere,4702,Catholic,Prep Year to Year 6,-23.449616,150.464764
5769,St Paul's Lutheran Primary School (Caboolture),55 Smith Road,Caboolture,4510,Independent,Prep Year to Year 6,-27.072074,152.93283300000002
5449,St Paul's School (Bald Hills),34 Strathpine Road,Bald Hills,4036,Independent,Prep Year to Year 12,-27.316465,153.004247
5091,St Paul's School (Woodridge),3 St Paul's Drive,Woodridge,4114,Catholic,Prep Year to Year 6,-27.635671999999996,153.11074399999998
5094,St Peter Chanel Primary School (The Gap),41 Chaprowe Road,The Gap,4061,Catholic,Prep Year to Year 6,-27.439088,152.94581399999998
5370,St Peter Claver College (Riverview),10 Old Ipswich Road,Riverview,4303,Catholic,Year 7 to Year 12,-27.599377,152.837982
5095,St Peter's Catholic Primary School (Caboolture),30 Beerburrum Road,Caboolture,4510,Catholic,Prep Year to Year 6,-27.080396999999998,152.951807
5219,St Peter's Catholic Primary School (Rockhampton),170 Upper Dawson Road,Rockhampton,4700,Catholic,Prep Year to Year 6,-23.398667,150.50116
5259,St Peter's Catholic School (Halifax),15-17 Anderssen Street,Halifax,4850,Catholic,Prep Year to Year 6,-18.582242,146.287677
5496,St Peters Lutheran College (Indooroopilly),66 Harts Road,Indooroopilly,4068,Independent,Prep Year to Year 12,-27.505962,152.98285800000002
5738,St Peters Lutheran College Springfield (Springfield Central),42 Wellness Way,Springfield Central,4300,Independent,Prep Year to Year 12,-27.689308,152.907768
5097,St Peter's Primary School (Rochedale),955 Rochedale Road,Rochedale,4123,Catholic,Prep Year to Year 6,-27.59303,153.122305
2224,St Philomena School (Park Ridge),61-71 Koplick Road,Park Ridge,4125,Independent,Prep Year to Year 12,-27.720892,153.084183
5098,St Pius' Primary School (Banyo),Apperley Street,Banyo,4014,Catholic,Prep Year to Year 6,-27.3719,153.080976
5099,St Pius X School (Salisbury),73 Golda Avenue,Salisbury,4107,Catholic,Prep Year to Year 6,-27.557603000000004,153.038066
5372,St Rita's College (Clayfield),41 Enderley Road,Clayfield,4011,Catholic,Year 7 to Year 12,-27.424923,153.056166
5594,St Rita's Primary School (Victoria Point),39 Benfer Road,Victoria Point,4165,Catholic,Prep Year to Year 6,-27.591787,153.294387
5283,St Rita's School (Babinda),7-13 Church Street,Babinda,4861,Catholic,Prep Year to Year 6,-17.343048,145.922535
5284,St Rita's School (South Johnstone),8 Green Street,South Johnstone,4859,Catholic,Prep Year to Year 6,-17.598873,145.996388
5402,St Saviour's College (Toowoomba),Neil Street,Toowoomba,4350,Catholic,Year 7 to Year 12,-27.572122999999998,151.95355
5186,St Saviour's Primary School (Toowoomba),14 Lawrence Street,Toowoomba,4350,Catholic,Prep Year to Year 6,-27.570857,151.95308899999998
5101,St Sebastian's Primary School (Yeronga),141 Kadumba Street,Yeronga,4104,Catholic,Prep Year to Year 6,-27.513987,153.01046100000002
5143,St Stephen's Catholic College (Mareeba),3 McIver Road,Mareeba,4880,Catholic,Year 7 to Year 12,-17.01765,145.419857
2495,St Stephen's School (Algester),156 Ridgewood Road,Algester,4115,Catholic,Prep Year to Year 6,-27.618151,153.02871299999998
5187,St Stephen's School (Pittsworth),Murray Street,Pittsworth,4356,Catholic,Prep Year to Year 6,-27.718959,151.636685
2494,St Teresa's Catholic College (Noosaville),Sea Eagle Drive,Noosaville,4566,Catholic,Year 7 to Year 12,-26.406468,153.032362
5434,St Teresa's College (Abergowrie),3819 Abergowrie Road,Abergowrie,4850,Catholic,Year 7 to Year 12,-18.480304,145.899577
5286,St Teresa's School (Ravenshoe),6 Moffatt Street,Ravenshoe,4888,Catholic,Prep Year to Year 6,-17.611332,145.487097
5220,St Therese's Catholic Primary School (Monto),Rayleigh Street,Monto,4630,Catholic,Prep Year to Year 6,-24.866609,151.121418
